/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri Jan 01 02:10:51 +0000 2016| user = blow007| text = RT @ViniiciusPotter: @dilmabr @Rio2016 Dilma Avante! Estamos contigo! Feliz 2016!
date = Fri Jan 01 02:08:15 +0000 2016| user = riffdan| text = RT @SurtoOlimpico: Ele chegou!!! O ano dos Jogos da XXXI Olimpíada, no @Rio2016. https://t.co/SRFN9APdiW
date = Fri Jan 01 02:08:14 +0000 2016| user = CaioAtrasado| text = @dilmabr @Rio2016 Não quero estrangeiros quero saúde publica, segurança nas ruas.
date = Fri Jan 01 02:08:08 +0000 2016| user = violgrachi2015| text = @SurtoOlimpico @Rio2016 demorou quase 7 anos pra esse momento!!!!!!!!!
date = Fri Jan 01 02:05:47 +0000 2016| user = SurtoOlimpico| text = Ele chegou!!! O ano dos Jogos da XXXI Olimpíada, no @Rio2016. https://t.co/SRFN9APdiW
date = Fri Jan 01 02:02:06 +0000 2016| user = JamesBruce91| text = #MeuRiodeJaneiro fica lindo como sempre! Já esperamos #Rio2016 🇧🇷😍
date = Fri Jan 01 02:01:46 +0000 2016| user = hiro_tokyojapan| text = 🇧🇷🇧🇷🇧🇷FELIZ ANO NOVO!!! @Rio2016_en @Rio2016 @ViniciusRio2016 @TomRio2016
date = Fri Jan 01 01:54:42 +0000 2016| user = DawnOfInjustice| text = @Rio2016 Feliz novo novo! #Rio2016
date = Fri Jan 01 01:54:34 +0000 2016| user = oficialds| text = RT @whainysilva: Vem Rio2016
date = Fri Jan 01 01:51:47 +0000 2016| user = whainysilva| text = Vem Rio2016
date = Fri Jan 01 01:50:48 +0000 2016| user = jjelcanibal| text = @Rio2016 Feliz Ano Novo @rio2016_en @rio2016_es
date = Fri Jan 01 01:50:11 +0000 2016| user = SergioSGTF| text = Reveillon de Copacabana é inacessivel aos Cariocas Suburbanos, da Zona Oeste e os da Baixada. @Rio2016 #Rio2016 @DialogaBrasil
date = Fri Jan 01 01:48:07 +0000 2016| user = ViniiciusPotter| text = RT @frjunioradv: Retweeted Vinícius Potter (@ViniiciusPotter):

@dilmabr @Rio2016 Dilma Avante! Estamos contigo! Feliz 2016!
date = Fri Jan 01 01:44:48 +0000 2016| user = mlsweber| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:44:21 +0000 2016| user = CIDADANIA_NEWS| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:43:33 +0000 2016| user = CassioSCCP| text = @dilmabr @Rio2016 meu unico desejo é que vc se foda Sra. PresidANTA.
date = Fri Jan 01 01:43:28 +0000 2016| user = FeijoMarcos| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:43:04 +0000 2016| user = Pollyanna3009| text = @dilmabr @Rio2016 Enquanto isso o Rio vai sucumbindo à crise da saúde...:(
date = Fri Jan 01 01:39:57 +0000 2016| user = Pollyanna3009| text = @dilmabr @Rio2016 Nesse meio tempo o Rio vai sucumbindo à crise na saúde...:(
date = Fri Jan 01 01:36:33 +0000 2016| user = AoDiaBrasil| text = #Brasil #Rio2016 Messi deverá ficar fora da Olimpíada de 2016, diz técnico da Argentina  #Br   https://t.co/3MnrDfn38x
date = Fri Jan 01 01:36:33 +0000 2016| user = AoDiaBrasil| text = #Brasil #Rio2016 Atleta hoje no Brasil não é mais herói, diz Flávio Canto  #Br   https://t.co/3MnrDfn38x
date = Fri Jan 01 01:36:33 +0000 2016| user = iDisplaySports| text = #Brasil #Rio2016 Messi deverá ficar fora da Olimpíada de 2016, diz técnico da Argentina  #Br   https://t.co/swNKYnvkK5
date = Fri Jan 01 01:36:33 +0000 2016| user = AoDiaBrasil| text = #Brasil #Rio2016 Pivô Érika é chamada para evento-teste após nova baixa na seleção  #Br   https://t.co/3MnrDfn38x
date = Fri Jan 01 01:36:33 +0000 2016| user = iDisplaySports| text = #Brasil #Rio2016 Atleta hoje no Brasil não é mais herói, diz Flávio Canto  #Br   https://t.co/swNKYnvkK5
date = Fri Jan 01 01:36:32 +0000 2016| user = iDisplaySports| text = #Brasil #Rio2016 Pivô Érika é chamada para evento-teste após nova baixa na seleção  #Br   https://t.co/swNKYnvkK5
date = Fri Jan 01 01:36:14 +0000 2016| user = luizaparaizzzo| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:36:08 +0000 2016| user = uszsz| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:30:12 +0000 2016| user = Seba_Pereira| text = RT @JogosOlimpicos: Feliz Ano Olímpico! #Vem2016 218 dias para os Jogos @Rio2016 ! 🎉🎆 https://t.co/OqsFM3Ryfn
date = Fri Jan 01 01:27:38 +0000 2016| user = oghostwolf| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:24:54 +0000 2016| user = rejanerochar| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:20:30 +0000 2016| user = _vitindantas| text = RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil
date = Fri Jan 01 01:18:33 +0000 2016| user = boteclando| text = Êêê, vida bôôôua! Ouvindo "Espelho", de João Nogueira. #2016 #leblon #rio2016 #réveillon2016… https://t.co/G2ZIp0QxMT
