/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Jan 11 02:08:18 +0000 2016;jf_jow;Vamos de cama que daqui a pouco é dia. De volta aos treinos. #Rio2016 #boanoite;
Mon Jan 11 02:03:14 +0000 2016;prbrunoleonardo;RT @SurtoOlimpico: A Rússia garante vaga no torneio Olímpico de Vôlei masculino do @Rio2016 https://t.co/0JxIOHRYyQ https://t.co/930yeXC2gb;
Mon Jan 11 02:03:08 +0000 2016;prbrunoleonardo;RT @SurtoOlimpico: Os EUA se classificam para o torneio feminino de vôlei do @Rio2016 https://t.co/U2bzgtGJsF https://t.co/nFZIKabhkh;
Mon Jan 11 01:59:50 +0000 2016;biofajr;@Leisparaquem @BlogDoPim quando acabar as olimpíadas vai fica pior...
#Rio2016;
Mon Jan 11 01:54:59 +0000 2016;votos_one;RT @PorAiAntenada: Gostaria de pedir a banda One Direction e o Luan Santana p os Jogos Olímpicos do Rio!! @Rio2016 
 
#WMYB1Billion;
Mon Jan 11 01:44:57 +0000 2016;itstiemy_;@andreymori_ dia 20 ou 21, mas volto pro Carnaval com você e o resto da trupe hahahahahaha Rio2016 é nois;
Mon Jan 11 01:36:22 +0000 2016;acazzo;RT @dilmabr: 2016 será um ano importante p/ o Brasil. Receberemos gente de todo o mundo p/ os Jogos @Rio2016 #SomosTodosBrasil;
Mon Jan 11 01:33:44 +0000 2016;ASilviaISan;Muito legal a emoção das meninas da Argentina classificadas para #Rio2016.
Parabéns @CastiglioneYael @mimisosa10;
Mon Jan 11 01:20:11 +0000 2016;ClipesOned;RT @PorAiAntenada: Gostaria de pedir a banda One Direction e o Luan Santana p os Jogos Olímpicos do Rio!! @Rio2016 
 
#WMYB1Billion;
Mon Jan 11 01:13:19 +0000 2016;Esquizofenix;RT @InhaAmarall: Boicote esse lixo de #Rio2016 ...cariocas estão apodrecendo no SUS e ngmmmmm mostra!;
Mon Jan 11 01:03:40 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Os EUA se classificam para o torneio feminino de vôlei do @Rio2016 https://t.co/U2bzgtGJsF https://t.co/nFZIKabhkh;
Mon Jan 11 01:03:36 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Rússia garante vaga no torneio Olímpico de Vôlei masculino do @Rio2016 https://t.co/0JxIOHRYyQ https://t.co/930yeXC2gb;
Mon Jan 11 01:00:46 +0000 2016;InhaAmarall;O Brasileiro decente, trabalhador ta CAGANDO PARA ESSE LIXO #RIO2016 #FANTASTICO MOSTREM O SUS SEUS merdas!;
Mon Jan 11 00:53:35 +0000 2016;SurtoOlimpico;Os EUA se classificam para o torneio feminino de vôlei do @Rio2016 https://t.co/U2bzgtGJsF https://t.co/nFZIKabhkh;
Mon Jan 11 00:52:33 +0000 2016;SurtoOlimpico;A Rússia garante vaga no torneio Olímpico de Vôlei masculino do @Rio2016 https://t.co/0JxIOHRYyQ https://t.co/930yeXC2gb;
Mon Jan 11 00:48:22 +0000 2016;VoleiMasculino1;#Rio2016

Histórico ! Argentina se classifica pela primeira vez para as Olimpíadas. https://t.co/MAYRThbSIQ;
Mon Jan 11 00:46:50 +0000 2016;adalvieira;O Rio de Janeiro continua lindo! 😬 Lovely day! #rio2016… https://t.co/PBFoEVl0vZ;
Mon Jan 11 00:43:24 +0000 2016;weslleygeo;RT @InhaAmarall: Vc que está esperando por essa MERDA DE #RIO2016 saiba que se vc precisar do SUS, lá Dilma Ñ enfia BILHÕES como em Copa e …;
Mon Jan 11 00:38:29 +0000 2016;evandrelias;RT @InhaAmarall: Boicote esse lixo de #Rio2016 ...cariocas estão apodrecendo no SUS e ngmmmmm mostra!;
Mon Jan 11 00:36:43 +0000 2016;Cris_duh_123;RT @InhaAmarall: Vc que está esperando por essa MERDA DE #RIO2016 saiba que se vc precisar do SUS, lá Dilma Ñ enfia BILHÕES como em Copa e …;
Mon Jan 11 00:35:54 +0000 2016;InhaAmarall;Boicote esse lixo de #Rio2016 ...cariocas estão apodrecendo no SUS e ngmmmmm mostra!;
Mon Jan 11 00:32:05 +0000 2016;InhaAmarall;Vc que está esperando por essa MERDA DE #RIO2016 saiba que se vc precisar do SUS, lá Dilma Ñ enfia BILHÕES como em Copa e #Rio2016;
Mon Jan 11 00:29:10 +0000 2016;InhaAmarall;Mães saem dos hospitais do RJ c eles mortos, carregam 9 meses na barriga p o SUS entregar corpinhos gelados. Mas o #rio2016 rolando Bilhoes;
Mon Jan 11 00:28:33 +0000 2016;LarissaeTalita;RT @amovoleidepraia: Você viu? Em entrevista exclusiva, Larissa fala da preparação para #Rio2016
@LarissaeTalita 
https://t.co/CVN7OXescV h…;
Mon Jan 11 00:26:22 +0000 2016;PorAiAntenada;Gostaria de pedir a banda One Direction e o Luan Santana p os Jogos Olímpicos do Rio!! @Rio2016 
 
#WMYB1Billion;
Mon Jan 11 00:18:42 +0000 2016;lorrainek_;RT @_aanacarolinar: The flash team ⚡#Rio2016 #VamuTime 🍃🏄🚣❤ @ Lago Norte, Brasília https://t.co/5tL0E8v2QF;
Mon Jan 11 00:17:52 +0000 2016;CloudTaem;Ano... Rio2016 É o que tá chamando a atenção pro Brasil além da crise..  https://t.co/RiDqtOS4I6;
Mon Jan 11 00:17:08 +0000 2016;Maxi_Fernandez_;Como para agendar @MenenFernandez #Rio2016 https://t.co/XpIstYmCFS;
Mon Jan 11 00:10:11 +0000 2016;rayphina;Olha que delícia #sargentopimenta #rio2016 https://t.co/2LoJVAUpRU;
Mon Jan 11 00:09:40 +0000 2016;AbeSocialMedia;RT @Rio2016: Linda de ser pelos seus quatros cantos! #CidadeMaravilhosa #RioDeJaneiro 😍👏 https://t.co/OxNZDrJWrf;
Mon Jan 11 00:00:29 +0000 2016;zidruxXx;208 dias pras Olimpíadas
#Rio2016 #208days;
Sun Jan 10 23:57:11 +0000 2016;ilobur_news;Seleções femininas dos EUA e da Rússia garantem vaga para o Rio ... - O Tempo https://t.co/gV4EJFtRrm #ブラジル #五輪 #Rio2016;
Sun Jan 10 23:39:12 +0000 2016;EPHECTO;RT @Angelalerena: Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:32:35 +0000 2016;andresmooney;RT @Angelalerena: Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:31:34 +0000 2016;Angelalerena;Sitio fundamental para ir anticipando #Rio2016  https://t.co/vCwUAXDwUC;
Sun Jan 10 23:21:34 +0000 2016;vinnysacramento;PLANTÃO OLÍMPICO

Vôlei feminino da @Argentina vem aos jogos @Rio2016! https://t.co/rpxZoPZA7O https://t.co/wrPNiheHBw;
Sun Jan 10 22:55:10 +0000 2016;ilobur_news;Argentina e Peru decidirão vaga no vôlei feminino para Rio 2016 - https://t.co/TqLN2IjRKH https://t.co/FGYQnsMXgO #ブラジル #五輪 #Rio2016;
Sun Jan 10 22:49:46 +0000 2016;LuanaPucca;RT @JogosOlimpicos: Boa sorte a todos os atletas que estão treinando forte para os Jogos @Rio2016 ! #RoadToRio https://t.co/q5ceRRfWQH;
