/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jan 13 02:06:42 +0000 2016;kccarlosed;Judô ❤ #Rio2016 https://t.co/5nEBakXYsv;
Wed Jan 13 02:03:07 +0000 2016;AlcyStar;RT @Rio2016: #Carnaval tá quase aí e a gente tem dicas de fantasias pra vc! A de hoje é pra quem curte #hipismo! 🐴 https://t.co/lnknFjzrC0;
Wed Jan 13 02:02:27 +0000 2016;decohmessi;Esse inicio do Alemão com o Anuncio sobre a #Rio2016  me lembrou que estamos em 2016 ^_^ #anoOLIMPICO #Brazil #riodejaneiro;
Wed Jan 13 01:58:35 +0000 2016;Rennato_Caetano;Desafio de férias  https://t.co/s7u3iGkh4m via @YouTube #desafiodeferias #ferias #piscina #verao #familia #rio2016 #nadosincronizado;
Wed Jan 13 01:56:01 +0000 2016;fimdejogo;antes da apresentação da arena de basquete. espera. ai a gente dá um jeitinho #rio2016 @rio2016… https://t.co/5w1LQUb0nB;
Wed Jan 13 01:37:17 +0000 2016;rp_415;@TheBlurBarbosa @Rio2016 Eu gosto do cor!!;
Wed Jan 13 01:32:50 +0000 2016;Cissa_Morena;RT @fimdejogo: #rio2016 #jogosparalímpicos paralimpicos - apresentação arena carioca hoje no parque olímpico na… https://t.co/NvfivzYsGq;
Wed Jan 13 01:25:14 +0000 2016;RafaelTeixeiraa;RT @fimdejogo: #rio2016 #jogosparalímpicos paralimpicos - apresentação arena carioca hoje no parque olímpico na… https://t.co/NvfivzYsGq;
Wed Jan 13 01:23:54 +0000 2016;fimdejogo;#rio2016 #jogosparalímpicos paralimpicos - apresentação arena carioca hoje no parque olímpico na… https://t.co/NvfivzYsGq;
Wed Jan 13 01:21:09 +0000 2016;fimdejogo;#gopro #olympicgames #rio2016  @rio2016 - arenas - parque olímpico na barra da tijuca https://t.co/sAnG6macvQ;
Wed Jan 13 01:19:55 +0000 2016;zidruxXx;206 dias pras Olimpíadas
#Rio2016 #206days;
Wed Jan 13 01:16:43 +0000 2016;renatoengcivil1;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
Wed Jan 13 01:07:38 +0000 2016;mathmais_;RT @liraedi: QUEM VAI PAGAR POR ISSO? #RIO2016;
Wed Jan 13 01:03:11 +0000 2016;JackBryant2324;RT @TheBlurBarbosa: A nova quadra de basquete das Olimpíadas @Rio2016 está linda!! #ArenaCarioca #CidadeOlimpica https://t.co/7pCTztfkq9;
