/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Mon Feb 01 02:07:29 +0000 2016| user = fepanaro| text = Amadas! #rio2016 #RESteam @ Clube Naval Piraquê https://t.co/UUOJGzLPrg
date = Mon Feb 01 01:53:37 +0000 2016| user = joaopaulom| text = Qualquer semelhança entre o #bbb16 e as águas da Baía da Guanabara da #Rio2016 podem não ser mera coincidência.
date = Mon Feb 01 01:50:08 +0000 2016| user = joaopaulom| text = Na Baía da Guanabara tem água de cocô. #Rio2016  https://t.co/gAyz2VKB6V
date = Mon Feb 01 01:43:20 +0000 2016| user = rio40graus| text = RT @praia_carol: Que calor é esse gente ?? To me sentindo um Frango de Padaria 😂😂😂. #Rio2016  @rio40graus
date = Mon Feb 01 01:33:42 +0000 2016| user = EdisonBatista| text = RT @WaackSisudo: Dê um search no twitter: 'olimpiada zika', e verá o q é recalque! Há um fulano até sugerindo ao COI cancelar a #Rio2016! I…
date = Mon Feb 01 01:29:03 +0000 2016| user = claudia83710830| text = RT @Rio2016: 🎊🎉 E os nossos Jogos entraram no clima de #Carnaval com a maravilhosa Preta Gil (@pretagil) no #BlocodaPreta2016 🎊🎉 https://t.…
date = Mon Feb 01 01:24:06 +0000 2016| user = svmattos| text = Sou #VoluntárioRio2016! Veja se você também é em https://t.co/cNFnCV5PlA
date = Mon Feb 01 01:18:55 +0000 2016| user = instaipanema| text = Amei,Praia de Ipanema-Rio de Janeiro
#Praia #Rio2016 #Verão #cidadeolimpica #rio #Ipanema … https://t.co/nagXAu7mWe https://t.co/bEEDJiDxJc
date = Mon Feb 01 01:16:40 +0000 2016| user = AundreTafJames| text = Go Neymar Jr!!!
#NeymahJr #Neymar #RealMadrid #Brasil #RioDeJaneiro2016 #Rio2016 #Alert https://t.co/PAjmIldbgq
