/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Feb 06 02:08:15 +0000 2016;NilsonAlbuquer4;FOTOS: veja as fantasias e as musas da Série A do Rio https://t.co/nOqOqql3HY;
Sat Feb 06 02:01:49 +0000 2016;ptbrasiI;RT emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/sp5yahC9zy via UOLEsporte #Rio2016;
Sat Feb 06 02:00:53 +0000 2016;diraholanda;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 02:00:50 +0000 2016;mara85kh;#rio2016 #carnaval @ Sambadrome Marquês de Sapucaí https://t.co/ZmDpNSFi53;
Sat Feb 06 01:59:41 +0000 2016;BernardoCadarn;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:57:47 +0000 2016;dirrtylucax;me inscrevi pra ser voluntário no rio2016. nem sei porque, mas sim;
Sat Feb 06 01:54:51 +0000 2016;RogerioLima2016;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:54:47 +0000 2016;_matheus_cs;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:54:31 +0000 2016;maluz_br;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:51:53 +0000 2016;ptbrasil;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:42:31 +0000 2016;RDRCharada1958;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:26:36 +0000 2016;fmb_loura;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:21:39 +0000 2016;GillmarCosta;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:21:23 +0000 2016;madeirarafael2;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:20:59 +0000 2016;_Bruns_;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:20:36 +0000 2016;hildadeoliveir4;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:20:20 +0000 2016;solange_carlos;RT @g1: FOTOS: primeira noite de desfiles da série A no Rio https://t.co/BYnj1eLhI6 #Globeleza #G1 https://t.co/NNunYSagUN;
Sat Feb 06 01:19:03 +0000 2016;PPericlesgmf;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:16:50 +0000 2016;IcleaS;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:16:38 +0000 2016;SimsekFatih69;RT @bbcbrasil: Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc…;
Sat Feb 06 01:16:05 +0000 2016;bbcbrasil;Na #Rio2016, Brasil enfrenta desafio de ser anfitrião que não decepciona em medalhas https://t.co/E9WUVHbEIv https://t.co/mc5jVICLLj;
Sat Feb 06 01:14:49 +0000 2016;juliocesaramor;RT @emirsader: A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:14:18 +0000 2016;emirsader;A seis meses da Rio-2016, Parque Olímpico está 97% concluído https://t.co/XFB1P8aQI3 via @UOLEsporte #Rio2016;
Sat Feb 06 01:10:19 +0000 2016;Regys_Silva;RT @SurtoOlimpico: e não esqueçamos: Faltam 6 meses para o @Rio2016 e sete dias para @lillehammer2016 https://t.co/OgwzhS08j9;
Sat Feb 06 01:10:08 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@BrunoSoares82 mira o ouro no @Rio2016 https://t.co/gZ1oITTNzH https://t.co/8nj5YwGc8e;
