/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Sat Mar 05 03:09:40 +0000 2016| user = claudiabambini| text = Fofas as medalhas do #Rio2016  né?!😏😏😏 https://t.co/Kq3eezjbt6
date = Sat Mar 05 02:55:16 +0000 2016| user = dressa_00_| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 02:25:20 +0000 2016| user = TheEdilsonLima| text = Pelo o que eu vi Natalia, Gabi, Carol e Juciely tão bem. Thaisa, Adenizia, Dani Lins e Brait ainda estão irregulares. Rio2016 ta ai ne....
date = Sat Mar 05 02:23:00 +0000 2016| user = Seba_Pereira| text = RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0
date = Sat Mar 05 02:17:42 +0000 2016| user = Seba_Pereira| text = RT @SurtoOlimpico: O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL
date = Sat Mar 05 02:13:43 +0000 2016| user = DumkeNoticias| text = Comitê Olímpico dos EUA cria grupo de doenças infecciosas para Rio-2016 https://t.co/5KHN7rmPjM
date = Sat Mar 05 02:13:15 +0000 2016| user = gatodagota| text = Dani doente, ainda bota bola P suelle.... Como dani tá lixo kkkkk, q no rio2016 ela não esteja assim
date = Sat Mar 05 02:05:34 +0000 2016| user = oquesenhor| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 02:02:28 +0000 2016| user = ale_martins| text = RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0
date = Sat Mar 05 02:02:01 +0000 2016| user = Regys_Silva| text = RT @SurtoOlimpico: O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL
date = Sat Mar 05 02:01:30 +0000 2016| user = Regys_Silva| text = RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0
date = Sat Mar 05 01:58:02 +0000 2016| user = SurtoOlimpico| text = O COI aprova novo orçamento do @Rio2016 https://t.co/A6rzrasDjY https://t.co/ZtLtvYk1KL
date = Sat Mar 05 01:54:39 +0000 2016| user = cjrsouza| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 01:53:25 +0000 2016| user = Vitor_92_Manoel| text = RT @SurtoOlimpico: Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0
date = Sat Mar 05 01:51:49 +0000 2016| user = SurtoOlimpico| text = Brasil classifica três atletas da Luta feminina para o @Rio2016 https://t.co/ocARNpbAJp https://t.co/FfrAg6KUk0
date = Sat Mar 05 01:36:29 +0000 2016| user = brenobarros| text = RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…
date = Sat Mar 05 01:33:41 +0000 2016| user = RicardoLeyser| text = RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…
date = Sat Mar 05 01:33:18 +0000 2016| user = DiogoHubner| text = RT @pfavero1: Seleções terão de se adaptar às novas regras do handebol nos Jogos @Rio2016. O jogador @DiogoHubner explica @CBHb1  https://t…
date = Sat Mar 05 01:22:24 +0000 2016| user = fgianesi| text = A @natizilio está jogando uma bola sensacional! Que temporada está fazendo... Tem que ser titular no @Rio2016, sem dúvida alguma!
date = Sat Mar 05 01:22:02 +0000 2016| user = serbretas| text = Futebol feminino chinês bate o Japão por 2-1 e fica + próximo da #Rio2016  https://t.co/HNTMnSGq8E
date = Sat Mar 05 00:43:46 +0000 2016| user = figchrisall| text = RT @dilmabr: Parabéns, Rio de Janeiro! Hoje é aniversário da cidade maravilhosa, que acolherá os Jogos Olímpicos e Paralímpicos de 2016. #R…
date = Sat Mar 05 00:43:41 +0000 2016| user = TranspRJ| text = Sobre o transporte público no #Rio2016.
#TransporteRJ por @Prefeitura_Rio
https://t.co/IKWX7jmKqr via @seacidadefosse
date = Sat Mar 05 00:40:33 +0000 2016| user = Mraya| text = Eduardo Paes , prefeito do Rio , disputa bola com jogador de rúgbi. #Rio2016 

(Tão boa q é melhor nem comentar) https://t.co/w5Px7jEmgl
date = Sat Mar 05 00:33:37 +0000 2016| user = I_RespectNeymar| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 00:31:02 +0000 2016| user = Jaaideer| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 00:24:57 +0000 2016| user = ManoChandraDhas| text = Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/oikXMqT5AJ https://t.co/PUBTlGB8bz
date = Sat Mar 05 00:14:10 +0000 2016| user = karemachach| text = RT @rio2016_es: @ClaroSports @NuriaDiosdado @karemachach @Rio2016 
Fuimos testigos! 😃👏👏 https://t.co/iZR02XmVJo
date = Sat Mar 05 00:13:47 +0000 2016| user = wtffde| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Sat Mar 05 00:09:39 +0000 2016| user = GabrielMasello| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:51:35 +0000 2016| user = geli_alcocer| text = RT @jmlpyt: Imagens de atletas brasileiros dos Jogos Olímpicos @UOLEsporte #Rio2016 https://t.co/Y7kCQQS37V https://t.co/rp2gm1cBym
date = Fri Mar 04 23:35:04 +0000 2016| user = reginaldooliv11| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:31:17 +0000 2016| user = marcosSFC17| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:30:54 +0000 2016| user = FUTEBOLARTESFC| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:21:36 +0000 2016| user = fckleeh_| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:20:55 +0000 2016| user = Helber15397791| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:18:43 +0000 2016| user = pfavero1| text = Mais um evento-teste nos Jogos @Rio2016 sem presença de público. Seria um bom momento de ver as Tupis @brasilrugby  https://t.co/szhCybHMp1
date = Fri Mar 04 23:07:58 +0000 2016| user = swntosfc| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 23:05:14 +0000 2016| user = ayukasoccer| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:55:05 +0000 2016| user = iranhudson| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:51:39 +0000 2016| user = TorcidaBrasil2| text = #SeleçãoFeminina vence a segunda na #CopaAlgarve, em Portugal https://t.co/EAHVTjl4F0 #Rio2016 #Futebol https://t.co/kNvNnY4yB6
date = Fri Mar 04 22:43:48 +0000 2016| user = Eric_Albani| text = RT @Rio2016: Pra ficar por dentro da classificação do #badminton, é só clicar aqui: https://t.co/CBYYKhilYw https://t.co/eybzTvtq0G
date = Fri Mar 04 22:38:36 +0000 2016| user = danielle_dsilva| text = Serena mira ouro olímpico, mas revela receio com zika e vinda ao país https://t.co/O4tTtI85uO via @UOLEsporte #Rio2016
date = Fri Mar 04 22:37:45 +0000 2016| user = Matheussfc_1912| text = RT @gabigol: Obrigado Senhor, pela oportunidade de seguir representando meu país! O sonho olímpico continua vivo! 🙏🏾🇧🇷⚽️ #Rio2016 https://t…
date = Fri Mar 04 22:34:05 +0000 2016| user = mauriliog7| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:28:41 +0000 2016| user = ImoveisFarid| text = COB lança música para torcida apoiar atletas nos Jogos Olímpicos do Rio via @UOLEsporte #Rio2016   https://t.co/S7AKFDDY2V
date = Fri Mar 04 22:23:57 +0000 2016| user = josesolonh| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
date = Fri Mar 04 22:23:12 +0000 2016| user = tadeu_alves| text = RT @avozdobrasil: Rio de Janeiro recebe evento-teste de #NadoSincronizado https://t.co/e9DgtzItVH #SomosTodosBrasil #Rio2016
