/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Mar 18 03:06:17 +0000 2016;Lyviaaramos;RT @t3ddyyyyy: sabe a tocha olimpica? então.....

VOU CARREGAR ELA NAS OLIMPÍADAS 2016 💙✨

obg @CocaCola_Br #TochaOlimpica #Rio2016 https:/…;
Fri Mar 18 03:01:13 +0000 2016;givaldos;@UOLNoticias @UOL bem vindo estrangeiros ao #Rio2016;
Fri Mar 18 03:00:13 +0000 2016;ebcnarede;Com 69 anos, o canadense Ian Millar vai ser o atleta olímpico mais velho na @Rio2016 https://t.co/uhZFAvpNF3 https://t.co/gNPoZ0pMOi;
Fri Mar 18 02:54:45 +0000 2016;alvarojosetv;@Leonidio @Rio2016  Não teremos esportes exibição . Dois novos esportes foram incluídos - Golfe e RUGBY SEVENS . Abraço Léo .;
Fri Mar 18 02:49:23 +0000 2016;Leonidio;@alvarojosetv Haverá esporte(s) exibição no Jogos Olímpicos do @Rio2016 ?
Admiro seu trabalho a muito tempo.;
Fri Mar 18 02:43:41 +0000 2016;regigabban;RT @Brasil2016: Quer saber como o país se prepara para os Jogos #Rio2016 na área de turismo? Acesse: https://t.co/vbI6aFGGSp https://t.co/H…;
Fri Mar 18 02:43:20 +0000 2016;BrazucaCopa2014;RT @maragabrilli: Faltam 6 meses p/os Jogos Paralímpicos!
São ingressos a R$10 para você vivenciar experiências emocionantes.
#Rio2016 http…;
Fri Mar 18 02:34:45 +0000 2016;CeciliaValerio2;RT @Rio2016: As histórias nos #JogosParalímpicos são sempre incríveis! Não dá pra explicar, #TemQueIr 🎯 https://t.co/6Tr37cAqIg;
Fri Mar 18 02:26:09 +0000 2016;jetsportspanama;RT @COlimpicoPanama: ¡OFICIAL!  Comité Olímpico de Panamá confirma cupo de la taekwondista @CarolenaPanama para #Rio2016 https://t.co/j4SGQ…;
Fri Mar 18 02:20:53 +0000 2016;IReVOLTAR;The TURISMO MEXICO-BRASIL Daily já saiu! https://t.co/Z4inTrgZQq Graças a @Rio2016;
Fri Mar 18 02:14:36 +0000 2016;sidney_richard;RT @CiscoDoBrasil: #Rio2016 será o evento + conectado do mundo e 90% da infraestrutura está pronta Nina, dir #inovação #Cisco #CasaRio http…;
Fri Mar 18 02:13:31 +0000 2016;CiscoDoBrasil;#Rio2016 será o evento + conectado do mundo e 90% da infraestrutura está pronta Nina, dir #inovação #Cisco #CasaRio https://t.co/LINVagSgzF;
Fri Mar 18 02:12:34 +0000 2016;paduafernandes;RT @RuanaCarolina: Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/K2FnI1nICp via @UOLEsporte #Rio2016;
Fri Mar 18 02:11:52 +0000 2016;CCFBrasilCoach;Inscrições abertas, parao Seminário que vai mudar a sua vida!
SUPER-Rio2016, dias 02 e 03 de abril. Você não pode... https://t.co/kQTmjLsuUG;
Fri Mar 18 02:09:34 +0000 2016;_olhamaria;RT @RuanaCarolina: Rio rescinde contrato e abandona último legado ambiental da Olimpíada https://t.co/K2FnI1nICp via @UOLEsporte #Rio2016;
Fri Mar 18 02:08:13 +0000 2016;rscristiane;RT @Rio2016: Saiba tudo sobre as classificações do #CiclismoMountainBike pro #Rio2016! 🚵🏻🚵🏻 https://t.co/cPALW6ytZz https://t.co/cyCUFGJrOW;
Fri Mar 18 02:07:54 +0000 2016;rscristiane;RT @Rio2016: Ainda não baixou o app do #Rio2016 pra participar do #DesafioAbraça? Você pode ganhar ingressos! https://t.co/CwaaCbv6FW;
Fri Mar 18 02:07:28 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Velocista britânico muda de nacionalidade para disputar o @Rio2016 https://t.co/ofeiJKrdqN https://t.co/vQSLM3reHX;
Fri Mar 18 02:07:24 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Atletas de esportes aquáticos do México poderão competir sob a sua bandeira no @Rio2016 https://t.co/UNdDacr3Nw https://…;
Fri Mar 18 02:07:19 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Jogador do @patriots, @Natebner34 quer disputar o Rugby Sevens no @Rio2016 https://t.co/j7a9viXGuI https://t.co/NqGSHuF8…;
