/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat Mar 26 02:54:24 +0000 2016;nromulo;BRA 2 X 2 URU Tamos é lascado com Dunga... já podemos não esperar a medalha de ouro no #Rio2016;
Sat Mar 26 02:46:47 +0000 2016;BDCCCCX;RT @Rio2016: Perceba Ivair a elegância do cavalo 🐴 https://t.co/8JXZ5S9hvG https://t.co/ak9M5flVko;
Sat Mar 26 02:40:06 +0000 2016;hsventura;@AndreVentura00 @tiagosplitter @bycycle bora la. Fazer de tudo para recuperar e jogar na #Rio2016;
Sat Mar 26 02:23:21 +0000 2016;cfredbastos;RT @SurtoOlimpico: A @CBDAoficial faz pré-convocação da seleção de Nado Sincronizado para o @Rio2016 https://t.co/uYeNBCtE81 https://t.co/Q…;
Sat Mar 26 02:20:50 +0000 2016;cecilianicolai;RT @SurtoOlimpico: Relembrando que atraso nas obras cancelam o evento-teste do Ciclismo de Pista do @Rio2016 https://t.co/YtvazqRbhs https:…;
Sat Mar 26 02:16:32 +0000 2016;jjmservicos;Vamos nessa!!!! https://t.co/TqWoBUh3Rs;
Sat Mar 26 02:07:29 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Coreano campeão Olímpico na ginástica se contunde e pode perder o @Rio2016 https://t.co/0JW16lTZSL https://t.co/K3oFB3a2…;
Sat Mar 26 02:07:18 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Relembrando que atraso nas obras cancelam o evento-teste do Ciclismo de Pista do @Rio2016 https://t.co/YtvazqRbhs https:…;
Sat Mar 26 02:07:07 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Colômbia e EUA empatam no primeiro jogo do Playoff do Futebol masculino para o @Rio2016 https://t.co/NJiJvfBbPw https://…;
Sat Mar 26 02:06:57 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A @CBDAoficial faz pré-convocação da seleção de Nado Sincronizado para o @Rio2016 https://t.co/uYeNBCtE81 https://t.co/Q…;
Sat Mar 26 02:04:19 +0000 2016;joanna_cr;RT @SurtoOlimpico: Relembrando que atraso nas obras cancelam o evento-teste do Ciclismo de Pista do @Rio2016 https://t.co/YtvazqRbhs https:…;
