/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Mar 27 02:59:49 +0000 2016;viniquihto;Ousada, espero q fique muito booooom! 
#natorcida https://t.co/H6r8H82yiR;
Sun Mar 27 02:50:07 +0000 2016;VidalVianna;@Rio2016 @Prefeitura_Rio CANALHA SAFADO  https://t.co/Z9zthn5wtl;
Sun Mar 27 02:48:02 +0000 2016;Jefersonanitter;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 02:44:30 +0000 2016;mozianitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 02:44:15 +0000 2016;PYDAnitta;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 02:41:34 +0000 2016;_sharoneliza_;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 02:28:57 +0000 2016;wallacealves473;RT @Rio2016: Classificados #Rio2016 no #HipismoSaltos por equipes 🐴 (1/4)
🇧🇷 #Brasil
🇫🇷 #França
🇺🇸 #EUA
🇩🇪 #Alemanha
🇸🇪 #Suécia
🇶🇦#Catar
🇨🇦…;
Sun Mar 27 02:28:45 +0000 2016;LayseAvelino;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Sun Mar 27 02:26:52 +0000 2016;anittaperrygosa;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
