/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Mar 30 03:07:57 +0000 2016;jnegrette09;A 15 MINUTOS DE #Rio2016;
Wed Mar 30 03:06:47 +0000 2016;RogerGilbertLaw;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Wed Mar 30 03:05:04 +0000 2016;Cxc624;@CrissHurtado será #Rio2016 ?;
Wed Mar 30 03:00:48 +0000 2016;arcangel5011;A 24 minutos de #Rio2016 #VamosColombia;
Wed Mar 30 02:58:56 +0000 2016;wicarni;#VamosColombia. Gool de #RogerMartinez. #EEUU 1-2 #Colombia clasificando a #Rio2016.;
Wed Mar 30 02:58:41 +0000 2016;anilom1032;Vamos para #Rio2016 @FCFSeleccionCol 
#VamosColombia 
1-2 65'
global 2-3;
Wed Mar 30 02:42:45 +0000 2016;sozelada;RT @AsuRunners: Solo faltan 2 meses para la #Maraton mais bonita do mundo, la @maratonadorio #yoelegicorrer #Rio2016 #AsuRunners https://t.…;
Wed Mar 30 02:41:35 +0000 2016;KethreynN;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Wed Mar 30 02:39:48 +0000 2016;ninhasouza;Vcs já baixaram o App Rio 2016 pra acompanhar tudo das Olimpíadas!? Só ❤️: https://t.co/j3QZMIQfN4;
Wed Mar 30 02:39:18 +0000 2016;LFMUSA;Dunga acaba de ganhar foro privilegiado... Rio2016.;
Wed Mar 30 02:39:11 +0000 2016;laa_isla;RT @Rio2016: “Show das poderosas”, da @Anitta, vai ser a trilha sonora de Daniele Hipolyto no #Rio2016: https://t.co/3BOxoHuz3E https://t.c…;
Wed Mar 30 02:34:23 +0000 2016;horacio_pita;RT @Record_Portugal: Vela - Portugueses defendem Rio'2016 https://t.co/kW4xQXsuZF;
Wed Mar 30 02:20:03 +0000 2016;leocarjr;Obra olímpica tem R$ 128,5 milhões bloqueados por suspeita de fraude https://t.co/Or6qzgXxtd via @UOLEsporte #Rio2016;
Wed Mar 30 02:18:48 +0000 2016;BritQueeney;Que o Brasil ganhe alguns ourinhos no @Rio2016 para alegrar esse povo!!!;
Wed Mar 30 02:15:20 +0000 2016;RenatoJua100;RT @Rio2016: Desenhe, baixe o nosso app, encaixe sua arte no formato, envie. Seu desenho pode virar selo dos @CorreiosBR ! https://t.co/1iO…;
Wed Mar 30 02:09:47 +0000 2016;RioFreeWalking;Venha fazer um passeio com os guias mais animados do Rio!!!! #errejota #Rio2016 #olimpíadas #cidademaravilhosa https://t.co/jVAtE7ekTG;
Wed Mar 30 02:06:05 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Talles Frederico alcança índice no Salto em Altura para o @Rio2016 https://t.co/6yRWpIEntu https://t.co/cfYqwr22K3;
Wed Mar 30 01:59:04 +0000 2016;EJorge_;@LuizAdemarJr e será o treinador da seleção olímpica (nos jogos rio2016) algo absurdo. Deveria ser Micale. Espero q Dunga deixe a seleção.;
Wed Mar 30 01:53:30 +0000 2016;SurtoOlimpico;Talles Frederico alcança índice no Salto em Altura para o @Rio2016 https://t.co/6yRWpIEntu https://t.co/cfYqwr22K3;
Wed Mar 30 01:48:18 +0000 2016;alem_do_futebol;RT @soudoesporte: Cada vez mais perto! Revelação do tiro com arco brasileiro lidera seletiva olímpica: https://t.co/55531jxKGH
#Rio2016;
Wed Mar 30 01:46:52 +0000 2016;LiiBarahona;RT @Rio2016: O jogo entre @TeamUSA   e @FCFSeleccionCol   é hoje e vale vaga para os @JogosOlimpicos  https://t.co/E5N8biWOyD https://t.co/…;
Wed Mar 30 01:35:12 +0000 2016;valeriabaron5;🇨🇴❤💙💛 Vamoss Sub 23 Con Toda Chiquitiness #Rio2016 ✌💚 
❤❤💪⚽Tricolooe⚽. #VamosColombia;
Wed Mar 30 01:30:27 +0000 2016;JorgeBlanco_09;RT @AfonsoF25: De volta a casa, de coração cheio! 

#Portugal #FPF #Rio2016 https://t.co/06KqfWO2Yp;
Wed Mar 30 01:30:26 +0000 2016;romanoolimpico;RT @SurtoOlimpico: Esse é o uniforme da Austrália para a Cerimônia de Abertura do @Rio2016 https://t.co/w3cKf6O0ui;
Wed Mar 30 01:29:33 +0000 2016;dilermandomoura;Não é hora do Brasil pensar em #Rio2016 , babaquice que só a #Globo quer! O #Brasil precisa é de vergonha na cara e parar de ser corrupto!;
Wed Mar 30 01:28:42 +0000 2016;jmalb;RT @exercitooficial: Sargento Renzo Agresta conquista a classificação na esgrima para os Jogos #Rio2016 https://t.co/KO007MbIIY https://t.c…;
Wed Mar 30 01:17:06 +0000 2016;kcsduarte;RT @exercitooficial: Sargento Renzo Agresta conquista a classificação na esgrima para os Jogos #Rio2016 https://t.co/KO007MbIIY https://t.c…;
Wed Mar 30 01:14:25 +0000 2016;cassiagontijo;RT @exercitooficial: Sargento Renzo Agresta conquista a classificação na esgrima para os Jogos #Rio2016 https://t.co/KO007MbIIY https://t.c…;
Wed Mar 30 01:13:59 +0000 2016;Caesar_ViaosNus;RT @exercitooficial: Sargento Renzo Agresta conquista a classificação na esgrima para os Jogos #Rio2016 https://t.co/KO007MbIIY https://t.c…;
Wed Mar 30 01:09:39 +0000 2016;beijopai;RT @AnjinChatin: #TchauQuerida

Segundo o Jeferson Dilma Bolada da Pepper a xará Vana Rousseff já está procurando emprego:

#Rio2016 https:…;
Wed Mar 30 01:09:29 +0000 2016;CzSz;Esses eventos em Madureira podem derrubar um certo Secretario de Segurança Público Privada do estado da Guanabara? #Rio2016 #Rio450;
Wed Mar 30 01:03:16 +0000 2016;cfredbastos;RT @SurtoOlimpico: Relembrando que @RenzoAgresta garantiu a sua vaga na esgrima do @Rio2016 https://t.co/EYVbs2L6G2 https://t.co/eVoPbURKIl;
