/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Mar 31 03:05:49 +0000 2016;Biancacarrvalho;Vai fazer história nas olimpiadas @Rio2016 https://t.co/UKPpWKm6Rz;
Thu Mar 31 03:03:39 +0000 2016;Daniele1Dmalik;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 03:02:56 +0000 2016;ANDERSONGURGEL;O Ministério do Esporte (@minesporte ) está em boas mãos. Toda sorte, @RicardoLeyser! E foco na aproximação do @Rio2016;
Thu Mar 31 03:02:55 +0000 2016;lieberdojb_;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 03:01:22 +0000 2016;lovebibimoretti;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 02:56:57 +0000 2016;nikiticolas;melhor companheira do Rio2016 é a julia que fica me desafiando pra ver quem termina o treinamento primeiro;
Thu Mar 31 02:55:01 +0000 2016;laisurvivor;RT @FeCastanhari: Precisamos conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016
Hey, #AjudaLuciano 
#IssoÉOuro 
 https://t.co/J…;
Thu Mar 31 02:54:53 +0000 2016;rayane_ottani;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 02:54:42 +0000 2016;laisurvivor;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:48:33 +0000 2016;YerCordero16;Representação feminina no COI alcança marca de 33% pela primeira vez https://t.co/XMBhTt2S2b vía @UOLEsporte #Rio2016;
Thu Mar 31 02:42:22 +0000 2016;BarneyBrian;RT @Rio2016: Todos os times de #futebol Olímpico já estão definidos e o sorteio dos grupos acontece no dia 14 de abril! ⚽⚽⚽ https://t.co/uZ…;
Thu Mar 31 02:41:15 +0000 2016;YankaTirulipa;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:41:04 +0000 2016;maauricio;Achei uma moeda do #rio2016 quanto será que vale? https://t.co/mfnf0Vpr5l;
Thu Mar 31 02:40:26 +0000 2016;The_Riquerson;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:39:05 +0000 2016;CraazyAboutFly;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 02:32:28 +0000 2016;JoyceCr89458252;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:30:42 +0000 2016;LojaNumisbahia;Folder para moedas jogos olimpicos Rio 2016 R$30,00 #numismatics, # coins, #rio2016, #olympics… https://t.co/HKjQxP6OhX;
Thu Mar 31 02:27:14 +0000 2016;nashsucker;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:23:46 +0000 2016;Mah_dasgalaxias;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:21:41 +0000 2016;joseph_karem;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
Thu Mar 31 02:18:59 +0000 2016;crushigoor;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:17:51 +0000 2016;AlvesJr2000;RT @DefesaGovBr: .@marmilbr e dos EUA fazem simulado de ação antiterrorista como parte da preparação p/ #Rio2016 https://t.co/rRm2ncR8Ls;
Thu Mar 31 02:16:36 +0000 2016;lari669;RT @Christian_fig: Ajuda Luciano, nunca te pedi nada!vamos conseguir esse carro, galera #TochaOlímpica #Rio2016#AjudaLuciano #IssoÉOuro htt…;
Thu Mar 31 02:11:04 +0000 2016;_heyjhowzi;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:10:23 +0000 2016;Maah1900;RT @juliococielo: ooo galera, ajuda a gente conseguir um carro pra viajar atrás da #TochaOlímpica #Rio2016!! #AjudaLuciano #IssoÉOuro https…;
Thu Mar 31 02:06:29 +0000 2016;VLampas;RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…;
