/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 11 02:47:04 +0000 2016;SIGLIAABRAHAO;RT @Rio2016: . @ziconarede esteve aqui no comitê e deixou um recado para apoiar os atletas que virão ao #Rio2016!
https://t.co/Wg0PiFskDS;
Mon Apr 11 02:45:21 +0000 2016;ap_angel;Gente vai ter competição de games no rio 2016#esport #rio2016;
Mon Apr 11 02:44:34 +0000 2016;cidade_maravilh;RT @SlimPapi25: #copacabana #sandsculptures #rio2016 #CachaçaDiaries #🇧🇷 @ Praia de Copacabana https://t.co/hlrxgER46q;
Mon Apr 11 02:38:05 +0000 2016;SeuEsporteBR;VOCÊS já são OURO! (Futebol Feminino)! #Rio2016 https://t.co/s6TGrKjYCw via @YouTube;
Mon Apr 11 02:35:49 +0000 2016;ANDERSONGURGEL;RT @Rio2016: O inovador Estádio Aquático Olímpico, casa da #Natação e do #PoloAquático foi inaugurado: https://t.co/Ab6h0ARM3v https://t.co…;
Mon Apr 11 02:34:12 +0000 2016;SlimPapi25;#copacabana #sandsculptures #rio2016 #CachaçaDiaries #🇧🇷 @ Praia de Copacabana https://t.co/hlrxgER46q;
Mon Apr 11 02:32:46 +0000 2016;dois_min;Tu sabes quais seleções no masculino e no feminino q jogarão a #Rio2016? Ñ! Passa lá no blog q nós te contamos ;) https://t.co/3x3a88VWaP;
Mon Apr 11 02:26:42 +0000 2016;Wilcke;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 02:22:24 +0000 2016;_TalitaCRF;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Mon Apr 11 02:12:51 +0000 2016;andres_knoll;RT @wellingcampos: Rubens Lopes presidente @FFERJ negocia com @Rio2016 p/ fazer 2 jogos das finais do Carioca no Maracanã. Assunto está evo…;
Mon Apr 11 02:02:45 +0000 2016;maur0p;Ativista cria loja de lembranças críticas da Rio-2016 e recebe ameaças https://t.co/eeGRGtn62s via @UOLEsporte #Rio2016;
Mon Apr 11 02:02:20 +0000 2016;fernandoseller;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
Mon Apr 11 02:01:36 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A @nikebrasil apresenta os uniformes de pódio do @timebrasil para o @Rio2016 https://t.co/TSwXbxYG2p https://t.co/qlWpIg…;
Mon Apr 11 02:01:17 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Nadador sul-coreano campeão Olímpico suspenso por doping é barrado do @Rio2016 https://t.co/SafsmaHV8z https://t.co/m7qB…;
Mon Apr 11 02:00:55 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...Brasil conhece os adversários no torneio de Polo Aquático no @Rio2016 https://t.co/0gEyHDi4nk https…;
Mon Apr 11 01:57:14 +0000 2016;SurtoOlimpico;A @nikebrasil apresenta os uniformes de pódio do @timebrasil para o @Rio2016 https://t.co/TSwXbxYG2p https://t.co/qlWpIgw4WT;
Mon Apr 11 01:54:07 +0000 2016;SurtoOlimpico;Nadador sul-coreano campeão Olímpico suspenso por doping é barrado do @Rio2016 https://t.co/SafsmaHV8z https://t.co/m7qBuusgoT;
Mon Apr 11 01:52:02 +0000 2016;ritabuhrer;RT @Brasil2016: Voos internacionais registram aumento de 289% durante as Olimpíadas: https://t.co/SU4rwZylAa #Rio2016 https://t.co/W3IWm7cp…;
Mon Apr 11 01:50:28 +0000 2016;SurtoOlimpico;Destaques do Surto...Brasil conhece os adversários no torneio de Polo Aquático no @Rio2016 https://t.co/0gEyHDi4nk https://t.co/Rj5s56dt4k;
Mon Apr 11 01:47:21 +0000 2016;dois_min;Definidas as seleções masculinas que participarão do handebol na #Rio2016 https://t.co/1a6EWYjn6O https://t.co/9XhvnnmuBl;
Mon Apr 11 01:41:42 +0000 2016;iagoagomes_;RT @W_Assis7: @iagoagomes_ Sim! não sei pq a Rio2016 tem que fica com o estádio tanto tempo;
Mon Apr 11 01:40:04 +0000 2016;W_Assis7;@iagoagomes_ Sim! não sei pq a Rio2016 tem que fica com o estádio tanto tempo;
Mon Apr 11 01:36:01 +0000 2016;josemilton_jmr;RT @agenciapf: Todo o controle migratório em portos e aeroportos do país nas Olimpíadas será nossa responsabilidade. #Rio2016 https://t.co/…;
