/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Apr 18 03:09:12 +0000 2016;DenielSanches;@dilmabr @Rio2016 E a saúde do Brasil, um lixo, legal Dona Dilma Rousseff;
Mon Apr 18 03:07:47 +0000 2016;vincentwice;RT @Rio2016: Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/ZZNDZYDnaH 😍😘 https://t.co/sOkxL…;
Mon Apr 18 03:06:36 +0000 2016;Ximetwitera;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 03:06:28 +0000 2016;adi7anand;RT @Rio2016: Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/ZZNDZYDnaH 😍😘 https://t.co/sOkxL…;
Mon Apr 18 03:06:14 +0000 2016;Rojalia;RT @_elsagarcia_: Felicidades @kevin_gastelum @Daniel_Corral @aLexa_M0 @analago95 
#TestEvent #Rio2016 #TeamMex #Gymnastics 
🏆💚⚪️❤️🏆 https:…;
Mon Apr 18 03:06:01 +0000 2016;Rio2016HQ;Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/S8d75jDHtq 😍😘 https://t.co/ki0KsTWGXm;
Mon Apr 18 03:05:57 +0000 2016;canteiro_hugo;RT @Rio2016: Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/ZZNDZYDnaH 😍😘 https://t.co/sOkxL…;
Mon Apr 18 03:05:50 +0000 2016;juanbernalm;RT @Rio2016: Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/ZZNDZYDnaH 😍😘 https://t.co/sOkxL…;
Mon Apr 18 03:05:35 +0000 2016;hiramprincipal;RT @dilmabr: Inaugurei hj o Estádio Aquático Olímpico, no RJ, q será palco das competições de natação e pólo aquático do @Rio2016 https://t…;
Mon Apr 18 03:05:12 +0000 2016;Rio2016;Todo mundo ama a #TochaRio2016 . Então que tal saber mais sobre seu significado? https://t.co/ZZNDZYDnaH 😍😘 https://t.co/sOkxLzi7RE;
Mon Apr 18 02:58:45 +0000 2016;OZZDEEZ;RT @Corinthians: É nóis no @Rio2016! Leonardo de Deus garante vaga olímpica nos 200m borboleta no #MariaLenk https://t.co/un0Ceq05pW;
Mon Apr 18 02:54:40 +0000 2016;_a_timida;RT @Brasil2016: Terminaram as rotações no #EventoTeste. Brasil, Alemanha, Bélgica e França conquistaram as vagas na ginástica pro @Rio2016…;
Mon Apr 18 02:50:06 +0000 2016;giogiomerces;RT @JogosOlimpicos: Parabéns, meninas! Nos vemos no @rio2016! https://t.co/BIMZY3mVbU;
Mon Apr 18 02:47:19 +0000 2016;carolmussi;RT @alexpussieldi: 4x200 livre feminino #rio2016 = LARISSA OLIVEIRA, MANUELLA LYRIO, JESSICA CAVALHEIRO e GABRIELLE RONCATTO QUE REVEZA! #t…;
Mon Apr 18 02:47:03 +0000 2016;pame_ca;RT @tomasgonzalez1: Allá vamos!!!🎉 #rio2016 @ Rio de Janeiro, Brazil https://t.co/sntNz7KLNH;
Mon Apr 18 02:46:10 +0000 2016;carolmussi;RT @FabSwimWear: Parabéns Day e Dai!! Vcs nos enchem de orgulho!!! Muito feliz por vcs! #vaga no #Rio2016 !!!! https://t.co/UIO0xQslBi;
