/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri Apr 29 03:11:49 +0000 2016| user = AdrianaMartinho| text = Amo o Rio de Janeiro. https://t.co/UoS3lbllHV
date = Fri Apr 29 03:04:21 +0000 2016| user = Pernelle3| text = RT @ItamaratyGovBr: #Roma, Itália: Embaixada do Brasil, Palácio Dora Pamphilj, em verde e amarelo. 100 dias para #Rio2016. https://t.co/NGC…
date = Fri Apr 29 03:01:21 +0000 2016| user = JairPagno| text = RT @ItamaratyGovBr: #Doha, Catar: Torre da Tocha em verde e amarelo. 100 dias para #Rio2016. https://t.co/rbaShbOcqF
date = Fri Apr 29 02:56:35 +0000 2016| user = karenlefosse| text = RT @Rio2016: O mundo está #RumoAoRio para os primeiros @JogosOlimpicos da América do Sul. #Faltam100Dias para o #Rio2016 🌍🎉
https://t.co/gB…
date = Fri Apr 29 02:43:25 +0000 2016| user = m_docee| text = Rio2016 kkkkkkk https://t.co/RT5PMkHTGO
date = Fri Apr 29 02:30:15 +0000 2016| user = DEBOLAY| text = Eu queria saber onde Cunha não recebeu propina! #cunha #bandido #cunhanacadeia #Olimpiadas #Rio2016 #vergonha   https://t.co/pbTOw6JzRK
date = Fri Apr 29 02:27:26 +0000 2016| user = 10gonzaga| text = RT @CaosNoRio: RT TorreKkktorre: CidadeOlimpica ? Rio2016  ?LeiSecaRJ CaosNoRio AlertaRio TransitoRioRJ https://t.co/ocms1aJjnW
date = Fri Apr 29 02:26:15 +0000 2016| user = 0217k2015| text = RT @TerraEsportesBR: Por medo do zika, campeã olímpica ainda não decidiu se vem a @Rio2016
https://t.co/cn0dIoDU8Y https://t.co/AEr879KogK
date = Fri Apr 29 02:25:37 +0000 2016| user = vitorcruz| text = O mundo se veste de verde e amarelo pelos 100 dias para os Jogos Olímpicos Rio 2016 https://t.co/ai89lx73V2
date = Fri Apr 29 02:22:42 +0000 2016| user = CaosNoRio| text = RT TorreKkktorre: CidadeOlimpica ? Rio2016  ?LeiSecaRJ CaosNoRio AlertaRio TransitoRioRJ https://t.co/ocms1aJjnW
date = Fri Apr 29 02:19:57 +0000 2016| user = yessirbibimbap| text = RT @justcallmevip: "Coreia do Sul divulga uniformes à prova do vírus da zika para a Rio2016" não vão morrer de zica vão morrer de calor htt…
date = Fri Apr 29 02:18:48 +0000 2016| user = Mottacwb| text = RT @Rio2016: O mundo se vestiu de verde e amarelo pelos 100 dias para os @JogosOlimpicos Você viu? https://t.co/nWV66hsvtb https://t.co/o7R…
date = Fri Apr 29 02:14:44 +0000 2016| user = romanoolimpico| text = @aarrio2016 @Rio2016 Tomara que sirva de lição e retirem para 2020. Deixem os caras no mundo deles.
date = Fri Apr 29 02:13:36 +0000 2016| user = jujusaron| text = RT @Rio2016: Daqui a pouco, meio-dia, começa a venda de novos ingressos do #Vôlei e do #VôleiDePraia! https://t.co/VKwh5Vu2oW https://t.co/…
date = Fri Apr 29 02:08:01 +0000 2016| user = RR_TV| text = Nadou pouco essa moça feia aí do lado. #espnbrasil #jogosolimpicos2016 #rio2016 @ ESPN Brasil… https://t.co/q4ZIHO13VY
date = Fri Apr 29 02:04:05 +0000 2016| user = _ludovico| text = RT @PalabradelDepor: #EnVivo desde Brasil @rio2016_es @CarrilloPablo @JCVeraza https://t.co/rHdamdJ3rA
