/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
date = Fri May 06 03:12:04 +0000 2016| user = zidruxXx| text = 91 dias pras Olimpíadas
#Rio2016 #91days
date = Fri May 06 03:11:56 +0000 2016| user = midiacrucis| text = RT @ebcnarede: “Tracei como objetivo deixar a vela olímpica após os Jogos @Rio2016", diz @robert_scheidt  https://t.co/bH3tQyiI3v https://t…
date = Fri May 06 03:11:52 +0000 2016| user = 1macatoMariana| text = chegou minha carta conviteeeee #Rio2016
date = Fri May 06 03:00:14 +0000 2016| user = ebcnarede| text = “Tracei como objetivo deixar a vela olímpica após os Jogos @Rio2016", diz @robert_scheidt  https://t.co/bH3tQyiI3v https://t.co/6l622Z6xU4
date = Fri May 06 02:55:32 +0000 2016| user = puroesporte| text = Seleção de Rúgbi encara potências no Circuito Mundial de 7 https://t.co/89reszDIBO #jogosoiímpicos #rio2016 #rugbi
date = Fri May 06 02:52:02 +0000 2016| user = PxElivanio| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 02:38:43 +0000 2016| user = SophEDulDivas| text = RT @TwitterBrasil: A menos de 100 dias para a @Rio2016, siga a #ChamaOlimpica na sua jornada #RumoAoRio com os novos Twitter emojis! https:…
date = Fri May 06 02:36:24 +0000 2016| user = sergiofhleite| text = RT @GringaBrazilien: Viram? George Soros e Ford Found tão oferencedo grana p/ jornalistas denunciarem 'direitos humanos' no #Rio2016 &gt; http…
date = Fri May 06 02:35:39 +0000 2016| user = thaisadiz| text = RT @SeuEsporteBR: FALTAM 3 MESES PARA OS JOGOS OLÍMPICOS #RIO2016 #RoadtoRio #RumoaoRio #ContagemRegressiva https://t.co/hrC58s5NYY
date = Fri May 06 02:28:14 +0000 2016| user = Regys_Silva| text = RT @SurtoOlimpico: .@teddyriner quer levar a bandeira da França no @Rio2016 https://t.co/IPkLoC6bLc https://t.co/F1XLE1BDVj
date = Fri May 06 02:28:12 +0000 2016| user = behind_21| text = RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…
date = Fri May 06 02:27:01 +0000 2016| user = smirandaberrios| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 02:25:14 +0000 2016| user = otariodocaralho| text = #Rio2016 Como uma cidade sem dinheiro para segurança promove Olimpíadas?
date = Fri May 06 02:22:18 +0000 2016| user = hugo_nunes_| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 02:22:06 +0000 2016| user = SurtoOlimpico| text = .@teddyriner quer levar a bandeira da França no @Rio2016 https://t.co/IPkLoC6bLc https://t.co/F1XLE1BDVj
date = Fri May 06 02:21:31 +0000 2016| user = SeuEsporteBR| text = FALTAM 3 MESES PARA OS JOGOS OLÍMPICOS #RIO2016 #RoadtoRio #RumoaoRio #ContagemRegressiva https://t.co/hrC58s5NYY
date = Fri May 06 02:12:24 +0000 2016| user = douglaswill92| text = RT @lancenet: As Seleções de Goalball já conhecem seus adversários na #Rio2016 https://t.co/CxthW8srTZ
date = Fri May 06 02:10:13 +0000 2016| user = lancenet| text = As Seleções de Goalball já conhecem seus adversários na #Rio2016 https://t.co/CxthW8srTZ
date = Fri May 06 02:09:02 +0000 2016| user = rosana_vautrain| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 02:08:35 +0000 2016| user = Ms3Amores| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 02:04:43 +0000 2016| user = Thbailao| text = Olha veio inhumas tocha #TodossomosOlímpico #TochaOlimpica #TourDaTocha #Rio2016 https://t.co/KssZVtPwrW
date = Fri May 06 02:01:34 +0000 2016| user = lucianosilva96| text = RT @atarde: Passagem da tocha na Bahia começa a ser desenhada https://t.co/TE2FRxWvRM #rio2016
date = Fri May 06 02:00:18 +0000 2016| user = publimetros| text = Decisão judicial não se discute, diz auxiliar de Temer sobre Cunha. #Brasil #Rio2016 https://t.co/wuMFOmgDWt
date = Fri May 06 01:55:46 +0000 2016| user = LuciaNeder| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 01:55:21 +0000 2016| user = GylldeAbreu| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 01:49:47 +0000 2016| user = IsraelAlmeida| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 01:49:15 +0000 2016| user = midiacrucis| text = RT @Rio2016: Waithy da tribo Xerente, que tem mais de 67 aldeias em Tocantínia e ensinou um pouco da sua língua akwe. #RumoAoRio https://t.…
date = Fri May 06 01:46:49 +0000 2016| user = anali_salva| text = RT @tvfloripa: Welcome Rio de Janeiro #Brazil #Rio2016 #RoadToRio #Olimpia2016 #RT @kentkristensen1 @channel100TV @tvfloripa https://t.co/S…
date = Fri May 06 01:46:30 +0000 2016| user = casa_dos_pobres| text = RT @ChamaOlimpica: Inspirador encontrar @janetmbrasil ☺ Mesatenista campeã no Pan 2007 que brilhará no 🏹 no @rio2016 #ChamaOlimpica https:/…
date = Fri May 06 01:46:05 +0000 2016| user = casa_dos_pobres| text = RT @Rio2016: Fim do #Dia3 da #TochaOlímpica. Amanhã 🏃🔥🏃 em Trindade, Aparecida de Goiânia, Piracanjuba, Morrinhos e Caldas Novas. https://t…
date = Fri May 06 01:45:01 +0000 2016| user = Ms3Amores| text = RT @ChamaOlimpica: Inspirador encontrar @janetmbrasil ☺ Mesatenista campeã no Pan 2007 que brilhará no 🏹 no @rio2016 #ChamaOlimpica https:/…
date = Fri May 06 01:44:48 +0000 2016| user = sylmargel| text = RT @EstadaoEsporte: Companheiro de Nenê, John Wall tem joelho operado e deve perder @Rio2016 - https://t.co/NipxMJBMb1 https://t.co/F2nDBV5…
