/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Tue May 10 02:36:01 +0000 2016;adri_remendes;RT @PassageiroRJ: Realidade do transporte público na #CidadeOlímpica.

#ImobilidadeRJ, largado do #Rio2016. 

RT @marciokellerone: https://…;
Tue May 10 02:31:07 +0000 2016;Lucadopovo2;Rivaldo faz campanha contra Rio-2016: 'Fiquem em seus países' https://t.co/5L7ukwpMBq;
Tue May 10 02:25:01 +0000 2016;amorimjulio80;Eu tenho medo de passar pelo elevado do joá. Pela duplicação então é que eu não passo mesmo. #olimpiadas #Rio2016;
Tue May 10 02:24:42 +0000 2016;marciofossari;RT @Rio2016: Cristina Landgraf foi uma das precursoras do handebol feminino no Brasil e participou da seleção em 1995. https://t.co/uQgd3VO…;
Tue May 10 02:14:35 +0000 2016;cassinha_moura;RT @ismacedo_: E amanhã tem ESGRIMA no Aquecimento Olímpico do @SiteLF 
Mais um esporte para ficarmos de perto no #Rio2016;
Tue May 10 02:10:13 +0000 2016;rosanemdo;RT @Rio2016: O grande momento do Seu Chico da Onça com a @ChamaOlimpica e a pira em Montes Claros, encerrando o nosso #Dia7 (3/3) https://t…;
Tue May 10 02:10:00 +0000 2016;rosanemdo;RT @Rio2016: E o #Dia7 da nossa cobertura da viagem da @ChamaOlimpica #RumoAoRio fica por aqui. Confira mais detalhes em https://t.co/2IhHe…;
Tue May 10 02:06:16 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@DjokerNole fala dos seus planos sobre a Vila Olímpica do @Rio2016 https://t.co/GCgioVkboA https://t.co/tlkc3xnhDP;
Tue May 10 02:06:12 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Ana Claudia Lemos pega cinco meses de suspensão, mas poderá disputar o @Rio2016 https://t.co/pCN74GNLlt https://t.co/l7N…;
Tue May 10 02:05:51 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Inaugurado trecho da Orla Conde que receberá a Pira Olímpica do @Rio2016 https://t.co/ofZWrXXpSU https://t.co/QO1wRz9pH1;
Tue May 10 02:04:46 +0000 2016;Lyviasrocha;RT @SurtoOlimpico: Ana Claudia Lemos pega cinco meses de suspensão, mas poderá disputar o @Rio2016 https://t.co/pCN74GNLlt https://t.co/l7N…;
Tue May 10 02:02:17 +0000 2016;SurtoOlimpico;.@DjokerNole fala dos seus planos sobre a Vila Olímpica do @Rio2016 https://t.co/GCgioVkboA https://t.co/tlkc3xnhDP;
Tue May 10 02:01:18 +0000 2016;SurtoOlimpico;Ana Claudia Lemos pega cinco meses de suspensão, mas poderá disputar o @Rio2016 https://t.co/pCN74GNLlt https://t.co/l7N2oeWyGB;
Tue May 10 02:00:42 +0000 2016;mariahsss;Mais alguém pensa que a abertura dos Jogos Olímpicos vai ser a maior vergonha mundial #Rio2016 #jatocovergonhaagora;
Tue May 10 01:57:47 +0000 2016;SurtoOlimpico;Inaugurado trecho da Orla Conde que receberá a Pira Olímpica do @Rio2016 https://t.co/ofZWrXXpSU https://t.co/QO1wRz9pH1;
Tue May 10 01:54:47 +0000 2016;joisa2401;RT @Juventud_GDC: #DatosdeInteres Atletas Capitalinos Clasificados a @rio2016_es @DanielPSUV https://t.co/TLy3mzGljC;
Tue May 10 01:54:35 +0000 2016;poliana_poliana;#pegaladrao

Como ninguém viu a meleca que ficou esse "cartaz"???

#rio2016 #olimpiadas… https://t.co/44TSQW6GWO;
Tue May 10 01:54:11 +0000 2016;Carlos_Serro;#Rio2016 #tochaolipica 
Meu trecho do revezamento https://t.co/FN20uociZ6;
Tue May 10 01:51:59 +0000 2016;fabiotsousa;RT @Rio2016: Cristina Landgraf foi uma das precursoras do handebol feminino no Brasil e participou da seleção em 1995. https://t.co/uQgd3VO…;
Tue May 10 01:49:55 +0000 2016;Carlos_Serro;#Rio2016 #TochaOlimpica  revezamento da tocha olímpica na minha cidade Serro MG. evento  pacificador e de valores p/ todos nós. Eu vou \o/;
Tue May 10 01:47:39 +0000 2016;OncdoftE;RT @Juventud_GDC: #DatosdeInteres Atletas Capitalinos Clasificados a @rio2016_es @DanielPSUV https://t.co/TLy3mzGljC;
Tue May 10 01:46:52 +0000 2016;luisean;RT @Juventud_GDC: #DatosdeInteres Atletas Capitalinos Clasificados a @rio2016_es @DanielPSUV https://t.co/TLy3mzGljC;
Tue May 10 01:45:07 +0000 2016;ORMultimedios;#entérate
#Rivaldo aconseja por seguridad no asistir a #Río2016
#ORSports
https://t.co/hzgHXY5pfZ;
Tue May 10 01:45:06 +0000 2016;ORSportsoficial;#entérate
#Rivaldo aconseja por seguridad no asistir a #Río2016
#ORSports
https://t.co/nZekJhPHMj;
Tue May 10 01:45:06 +0000 2016;JesusSaviola;#entérate
#Rivaldo aconseja por seguridad no asistir a #Río2016
#ORSports
https://t.co/oasCkMUBWg;
Tue May 10 01:44:31 +0000 2016;DsilvaMota;RT @Rio2016: Francisco Correia da Mota é agricultor da comunidade quilombola da "Onça". Seu Chico da Onça, como é conhecido (1/3) https://t…;
Tue May 10 01:41:56 +0000 2016;JardelMendes12;RT @AndersonCunha40: Primeiro passo para seguir em frente: 
não corra atrás de quem não quer andar ao seu lado #TodosNaMafiaSdv #rio2016 #t…;
Tue May 10 01:40:47 +0000 2016;msbravo8543;RT @Juventud_GDC: #DatosdeInteres Atletas Capitalinos Clasificados a @rio2016_es @DanielPSUV https://t.co/TLy3mzGljC;
