/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun May 15 03:01:31 +0000 2016;renatavtav;@Rio2016 O som no Estádio do Engenhão estava mto alto. Quase fiquei surda a cada começo de prova.;
Sun May 15 03:01:20 +0000 2016;yagoddamn;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Sun May 15 03:00:45 +0000 2016;RAFAELRFD;RT @Rio2016: 🔥Incentivar e inspirar é a vida do professor/psicólogo Marcelo Melo que atua com pessoas com deficiência desde 2000🔥 https://t…;
Sun May 15 02:52:37 +0000 2016;Goldstein84;@Rio2016 @flausinoJQ @ChamaOlimpica guitarra dele tá peidando? 🎸💨;
Sun May 15 02:49:32 +0000 2016;iedamarcondes;Dólar a R$5,34 https://t.co/5nj0g5sZZz;
Sun May 15 02:48:58 +0000 2016;Gabi_Torry;RT @Rio2016: Fãs do @LucasRanngel ansiosas para vê-lo no revezamento da #TochaOlímpica e da @ChamaOlimpica! 🙌 https://t.co/NCKqw7zUrs;
Sun May 15 02:48:04 +0000 2016;FCmaisumavezJQ;@jotaquest 
#Repost @rio2016_es with repostapp
・・・
@flausinoJQ acendeu a pira em Belo Horizonte… https://t.co/sfiE8ipzin;
Sun May 15 02:47:53 +0000 2016;thainarocha;RT @TorcidaBrasil2: Rainha #Marta fala sobre a Final de #Beijing2008
