/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon May 16 02:59:30 +0000 2016;rmmaia_fla;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:53:39 +0000 2016;Inter10Nacional;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:52:12 +0000 2016;Romeroana;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:52:08 +0000 2016;dnegretti;RT @Blog_O_Farol: Tem no YouTube @Buchada_de_Bode @gisellemathias Vamos invadir o Rio2016 p vaiar os golpistas e panfletar ao mundo sobre o…;
Mon May 16 02:51:27 +0000 2016;Leila_Argollo;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:48:25 +0000 2016;jpAssis44;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:45:59 +0000 2016;marcysmrj;RT @Blog_O_Farol: Tem no YouTube @Buchada_de_Bode @gisellemathias Vamos invadir o Rio2016 p vaiar os golpistas e panfletar ao mundo sobre o…;
Mon May 16 02:45:19 +0000 2016;PauloPetuba;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:40:06 +0000 2016;BorninBR;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:38:44 +0000 2016;joan_rosa;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:35:20 +0000 2016;HojeNaIgreja;RT @Rio2016: Essa é a Igreja São Francisco de Assis, em São João del Rei. A @ChamaOlimpica passou por lá instantes atrás. https://t.co/6Lmk…;
Mon May 16 02:34:13 +0000 2016;RONALDDMATTOS;@VEJA @ChamaOlimpica @Rio2016 
saporra fez mais coisa em uma semana q eu em 52 anos... com inveja!;
Mon May 16 02:33:27 +0000 2016;marciamussa2;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:33:23 +0000 2016;Joaomoorais;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:32:41 +0000 2016;BigOldStone;RT @Rio2016: Fechamos o revezamento de hoje com ela: a Musa da elegância Sandra Annenberg e a @ChamaOlimpica. #ChamaElegante 🎩👒🔥 https://t.…;
Mon May 16 02:31:48 +0000 2016;Panambi4;RT @Blog_O_Farol: Tem no YouTube @Buchada_de_Bode @gisellemathias Vamos invadir o Rio2016 p vaiar os golpistas e panfletar ao mundo sobre o…;
Mon May 16 02:31:15 +0000 2016;Blog_O_Farol;Tem no YouTube @Buchada_de_Bode @gisellemathias Vamos invadir o Rio2016 p vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!;
Mon May 16 02:28:50 +0000 2016;FileGalo;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!  @potiguar77 @FernandoCes…;
Mon May 16 02:28:50 +0000 2016;necabettio;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:27:37 +0000 2016;Panambi4;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @…;
Mon May 16 02:26:41 +0000 2016;LeonildaValenti;RT @Blog_O_Farol: Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!  @phcumino @MaiaTiane @pt…;
Mon May 16 02:26:26 +0000 2016;Blog_O_Farol;Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!  @potiguar77 @FernandoCesar77 @tadeu_alves;
Mon May 16 02:25:31 +0000 2016;Blog_O_Farol;Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!  @phcumino @MaiaTiane @ptluizhenrique;
Mon May 16 02:24:50 +0000 2016;Blog_O_Farol;Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo!  @sandyzeenha @PTnaCamara @Etenajlroyal;
Mon May 16 02:24:03 +0000 2016;Blog_O_Farol;Vamos invadir o Rio2016 para vaiar os golpistas e panfletar ao mundo sobre o golpe Temer/Globo! @ptbrasil @SasaChomsky  @palmeriodoria;
Mon May 16 02:18:26 +0000 2016;romanoolimpico;RT @SurtoOlimpico: A @iaaforg não vai excluir o atletismo do Quênia do @Rio2016 https://t.co/8kmbjtw7Gg https://t.co/sCQzbsEDAU;
Mon May 16 02:14:59 +0000 2016;zjmgareth;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:14:28 +0000 2016;pamtaynar;Que saudade desse lugar😻❤️ #Rio2016 #RioDeJaneiro #AmoViajar #Ferias https://t.co/gV64WohXdl;
Mon May 16 02:13:04 +0000 2016;tamirysres;A festa da Tocha em Juiz de Fora foi maravilhosa, sem palavras #ChamaOlimpica #ChamaEmMG  @Rio2016;
Mon May 16 02:11:25 +0000 2016;tamirysres;RT @Rio2016: Aguardado pelo público e pela família, André Nascimento - campeão Olímpico do vôlei - chega para acender a pira! https://t.co/…;
Mon May 16 02:11:22 +0000 2016;tamirysres;RT @Rio2016: Vitória, superação, reconhecimento - Alexandre Ank, medalhista de #TênisDeMesa Paralímpico sobre a #TochaOlímpica. https://t.c…;
Mon May 16 02:11:10 +0000 2016;tamirysres;RT @Rio2016: O público já está no Terreirão do Samba, em Juiz de Fora, esperando a #ChamaOlimpica acender a pira! https://t.co/sHGfKKcTaQ;
Mon May 16 02:10:31 +0000 2016;eduardomenezes_;@VEJA @Rio2016 Que concorrer com a louca da Daniela Mercury.;
Mon May 16 02:09:33 +0000 2016;delazeri_rafael;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:09:28 +0000 2016;ForaPTJa;@ConversaAfiada !!!! Kkkkkk Dor de cotovelos, que venha #Rio2016 #RioOlympics2016  https://t.co/H1MHFVJz9D;
Mon May 16 02:05:19 +0000 2016;OsvladPereira;RT @GKellyGBernardo: Extração ilegal de saibro abastece obra de legado das Olimpíadas do Rio #G1 https://t.co/wsmxlqW6bK #RIO2016;
Mon May 16 02:04:39 +0000 2016;GKellyGBernardo;Extração ilegal de saibro abastece obra de legado das Olimpíadas do Rio #G1 https://t.co/wsmxlqW6bK #RIO2016;
Mon May 16 02:04:28 +0000 2016;thikos;vou levar TANTA MAS TANTA plaquinha de #GloboGolpista pras olimpíadas #Rio2016;
Mon May 16 02:04:26 +0000 2016;RadioOncologia;@VEJA @ChamaOlimpica @Rio2016 dá para devolver a tocha??;
Mon May 16 02:03:00 +0000 2016;belalamini;@VEJA @Rio2016 estou achando tudo muito exagerado.;
Mon May 16 02:02:58 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Revezamento da Tocha do @Rio2016 entre os dias 6 e 11 https://t.co/iyRjpzX67l https://t.co/8gq4tfSaFn;
Mon May 16 02:02:58 +0000 2016;ellencrf_;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
Mon May 16 02:02:57 +0000 2016;FitCalPORTUGAL;@alexandreank postou "O Momento e agora é a hora e Já"

#TochaOlimpica #Rio2016 #ChamaOlim… https://t.co/mfx1gfflbl https://t.co/rZMzVIUwYn;
Mon May 16 02:02:51 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A @iaaforg não vai excluir o atletismo do Quênia do @Rio2016 https://t.co/8kmbjtw7Gg https://t.co/sCQzbsEDAU;
Mon May 16 02:02:47 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Austrália lança uniformes dos esportes aquáticos para o @Rio2016 https://t.co/3a8ajlYc7O https://t.co/MT7KD5qPbI;
Mon May 16 02:02:30 +0000 2016;thikos;Estarei linda vaiando #Rio2016 #TemerGolpista #ForaTemer https://t.co/qIBURTukRV;
Mon May 16 02:02:24 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@feliciano_lopez anuncia que está fora do @Rio2016 https://t.co/covPTBGu3O https://t.co/lHFxLrd0Hc;
Mon May 16 02:01:55 +0000 2016;Imtamires;Passagem da Chama Olímpica em Juiz de fora! #@rio2016_es @timebrasil #OlympicGames #flame #Rio2016 https://t.co/wpo7WIpqNr;
Mon May 16 02:00:58 +0000 2016;AndreSousa020;RT @Flamengo: Tirou onda! É só o começo do Time #Flamengo na @Rio2016  https://t.co/zHYUJ9UuK9;
