/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu May 26 03:08:52 +0000 2016;CarlosFlaviolim;Metrô Rio terá esquema especial de funcionamento durante Olimpíadas #G1 https://t.co/HrbsZglmwx;
Thu May 26 03:06:41 +0000 2016;CeciBath;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 03:01:03 +0000 2016;leosabino;RT @Rio2016: Maria Reis reza há 54 anos a novena de Santo Antônio por Ituberá. Já casou até reis e rainhas! 👑 👸 👰 #TochaOlímpica https://t.…;
Thu May 26 02:57:14 +0000 2016;JoserenatoJrm;RT @Rio2016: Novidade revelada: álbum de figurinhas do #Rio2016! Chega nas bancas no dia 3/6! https://t.co/6hKPbfsMMq;
Thu May 26 02:56:18 +0000 2016;SantiagoLipe17;Museu do amanhã 🌇✨ #RiodeJaneiro #Rio2016 #cidadeolimpica https://t.co/qOD3YUeIzm;
Thu May 26 02:54:33 +0000 2016;jovemlab;RT @jovembeta: Situação econômica afeta venda de produtos da Rio 2016 https://t.co/OOSvTJH0da;
Thu May 26 02:53:52 +0000 2016;alanroquee;Saiu o percurso da tocha olímpica em Natal: https://t.co/W1ydUc2LVL CORRE!!!;
Thu May 26 02:52:31 +0000 2016;alanagomyes;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 02:51:33 +0000 2016;GabrielF_SLZ;QUE PAÍS É ESSE? #Taxista tenta atropelar idosa que pegava @Uber em aeroporto https://t.co/0BaHETy2Lg #Rio2016 @Uber_Brasil #RioOlympics2016;
Thu May 26 02:47:06 +0000 2016;SaporeBrasil;Dica @FilipSantosChef para deixar a massa mais cremosa #sabordeconquista #juntospravencer #saporebrasil #Rio2016 https://t.co/iVrsR2jrTY;
Thu May 26 02:45:00 +0000 2016;Airamecila;@SurtoOlimpico @Rio2016 Lamentável a falta do vôlei na capa.Fotos poderiam ter sido menores p/caber representante d cd modalidade c/medalha.;
Thu May 26 02:39:01 +0000 2016;tiaoribeiro;RT @Brasil2016: O álbum de figurinhas @Rio2016, feito junto com COB e CPB, traz informações dos atletas e dos esportes. https://t.co/MKGCbd…;
Thu May 26 02:38:49 +0000 2016;BarbosaVasco197;RT @g1rio: Metrô Rio terá esquema especial de funcionamento durante Olimpíadas https://t.co/psxAKldRX8;
Thu May 26 02:38:25 +0000 2016;BarbosaVasco197;RT @g1rio: BAC faz treinamento no Galeão com policiais franceses para Jogos no Rio https://t.co/av1fL0Chuw;
Thu May 26 02:38:20 +0000 2016;VargasJandira;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Thu May 26 02:37:15 +0000 2016;norivalncfrj;Situação econômica afeta venda de produtos da Rio 2016, diz comitê #G1 https://t.co/TGz0P4FsWM;
Thu May 26 02:36:57 +0000 2016;Cintia_MBRosa;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 02:36:49 +0000 2016;BlogDMNews;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 02:36:31 +0000 2016;DanNegresco;É amanhã! @TatahPaulista @Monicaspaixao @ChamaOlimpica @CocaCola_Br
Apesar dos problemas com o repasse de informações por parte da @Rio2016;
Thu May 26 02:34:06 +0000 2016;David_s_azevedo;Estou ouvindo Coca-Cola FM -  https://t.co/yCzUMWJJDH hoje em senhor do Bonfim foi ouro #issoéouro @Rio2016  @Monicaspaixao  @CocaCola_Br;
Thu May 26 02:29:37 +0000 2016;netzona1;RT @Rio2016: Capim Grosso já está pronta para receber o Revezamento da @ChamaOlimpica! https://t.co/hA9bNGrFiw;
Thu May 26 02:29:13 +0000 2016;netzona1;RT @Rio2016: Em Capim Grosso, a multidão já está no trajeto da @ChamaOlimpica para conferir tudo de perto. 👏👏👏👏 https://t.co/xTW703QE6e;
Thu May 26 02:28:56 +0000 2016;vale_tavares;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 02:28:25 +0000 2016;gianblog21;Interessante: Austrália pré-convocou Dante Exum, que não joga há um ano, após ter se lesionado justamente pela seleção em amistoso #Rio2016;
Thu May 26 02:21:52 +0000 2016;Musquito5D;RT @danielamercury: O show de ontem no Farol da barra.Cantando samba reggae e afirmando a nossa bela negritude. #Rio2016 #chamaolimpica htt…;
Thu May 26 02:21:48 +0000 2016;jovembeta;Situação econômica afeta venda de produtos da Rio 2016 https://t.co/OOSvTJH0da;
Thu May 26 02:20:35 +0000 2016;SoldadoCidadao;RT @ChamaOlimpica: Tô com meu álbum do #Rio2016 e eu sou os "xis", mas preciso das figurinhas! Se me tirar, marque a @ChamaOlimpica 😉 https…;
