/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sat May 28 03:07:04 +0000 2016;LineDaidouji;RT @momentsbrasil: Cientistas querem adiar #Rio2016 por causa do zika vírus.

Veja as notícias do esporte desta sexta. #Moments⚡
https://t.…;
Sat May 28 03:02:53 +0000 2016;Juh_Sann;RT @momentsbrasil: Cientistas querem adiar #Rio2016 por causa do zika vírus.

Veja as notícias do esporte desta sexta. #Moments⚡
https://t.…;
Sat May 28 03:00:00 +0000 2016;momentsbrasil;Cientistas querem adiar #Rio2016 por causa do zika vírus.

Veja as notícias do esporte desta sexta. #Moments⚡
https://t.co/wmQzRf2r2f;
Sat May 28 02:59:11 +0000 2016;vitorinobueno;Aliás @josuabarroso que dia é o aniversário de 1 ano em agosto? Será q n vai bater com Rio2016 não?;
Sat May 28 02:56:46 +0000 2016;LuciCalegari;@Esp_Interativo @sheillacastro @Rio2016 que esse ano seja um pouco mais fácil, meu coração não aguenta hahaha;
Sat May 28 02:49:31 +0000 2016;Lucaaaixx;RT @Rio2016: Olha o fim de tarde que recebe a @ChamaOlimpica  em Paulo Afonso. Não é lindo? 😍❤😎👏 https://t.co/bnom1orA8a;
Sat May 28 02:47:15 +0000 2016;grasieliribeiro;Recebi a carta convite das olimpíadas #rio2016;
Sat May 28 02:45:27 +0000 2016;Jovaneguissone;RT @minesporte: #Rio2016 lançou o álbum de figurinhas oficial dos Jogos Olímpicos e Paralímpicos! https://t.co/UFdmaqYIM9 https://t.co/E5qc…;
Sat May 28 02:23:14 +0000 2016;martinchab1997;RT @Rio2016: A Eduarda Jorge conduz a @ChamaOlimpica em Paulo Afonso. E as ruas da cidade já estão decoradas para sua caminhada. https://t.…;
Sat May 28 02:22:18 +0000 2016;martinchab1997;RT @Rio2016: Colégio Sete de Setembro vai apresentar um teatro sobre a caatinga e o cangaço em Paulo afonso. Olha quem vai ver! https://t.c…;
Sat May 28 02:21:30 +0000 2016;martinchab1997;RT @Rio2016: Luiz Junior Ferreira é coreógrafo e irá fazer apresentações em homenagem a são Francisco, padroeiro de Paulo Afonso. https://t…;
Sat May 28 02:21:27 +0000 2016;blenner3;qria ir ao b.m hj, preso dentro da própria casa! 

#Rio2016  #legado  #olimpiadas https://t.co/5J4AmouPmo;
Sat May 28 02:20:46 +0000 2016;martinchab1997;RT @Rio2016: Será que você consegue achar o @ViniciusRio2016 nos aros em Orocó? https://t.co/FcMIEVw9VQ;
Sat May 28 02:20:39 +0000 2016;martinchab1997;RT @Rio2016: Olha o fim de tarde que recebe a @ChamaOlimpica  em Paulo Afonso. Não é lindo? 😍❤😎👏 https://t.co/bnom1orA8a;
Sat May 28 02:19:00 +0000 2016;martinchab1997;RT @Rio2016: Fábia Santos é nascida em Cabrobó e é idealizadora da Copa Marcão de Futsal. Hoje ela conduziu a @ChamaOlimpica. https://t.co/…;
Sat May 28 02:18:30 +0000 2016;Taeslaa;@ChamaOlimpica @Rio2016  Minha Paulo Afonso é muito linda;
Sat May 28 02:17:55 +0000 2016;rickpereira19;RT @CocaCola_Br: Quer saber tudo da viagem do Urso e seus amigos atrás da #TochaOlímpica #Rio2016? Dê RT e receba conteúdos em 1ª mão! #Con…;
Sat May 28 02:12:38 +0000 2016;aguzmanmejia;RT @La_Gradamx: #Río2016
Gabriela Bayardo apuntada para @Rio2016 https://t.co/ryOBypSyh0 https://t.co/Y51JbDukSj;
Sat May 28 02:07:14 +0000 2016;PedrowPedrow;RT @SurtoOlimpico: Destaques do Surto...anunciada a data da apresentação das medalhas do @Rio2016 https://t.co/HmReiluEI3 https://t.co/qEHx…;
Sat May 28 02:01:31 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Isinbayeva fala que vai processar a IAAF se ficar de fora do @Rio2016 https://t.co/mRllO5Xtjh https://t.co/227QRiyiKk;
Sat May 28 02:01:23 +0000 2016;aarrio2016;2 sets a zero Irã 25/25 x 19/17 Austrália pré olímpico de volei masculino #rio2016;
Sat May 28 02:00:58 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Maracanã começa a ser preparado para a Abertura do @Rio2016 https://t.co/TWx7gYOU3b https://t.co/DuS95oPC1j;
Sat May 28 02:00:53 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Treta durante a seletiva russa da Luta Olímpica para o @Rio2016  https://t.co/HTBH3BwV2R https://t.co/ixDZS8jWmR;
Sat May 28 02:00:32 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto...anunciada a data da apresentação das medalhas do @Rio2016 https://t.co/HmReiluEI3 https://t.co/qEHx…;
Sat May 28 01:59:22 +0000 2016;LOVELY_DDOG;#Rio2016 em alguns dias...
Onde isso vai parar?

 https://t.co/RO4oamIW7k;
Sat May 28 01:59:17 +0000 2016;odinsiqueiragu5;@Rio2016_en gostaria de saber se o governo do Rio vai pagar os professores;
Sat May 28 01:57:47 +0000 2016;SurtoOlimpico;Isinbayeva fala que vai processar a IAAF se ficar de fora do @Rio2016 https://t.co/mRllO5Xtjh https://t.co/227QRiyiKk;
Sat May 28 01:53:34 +0000 2016;SurtoOlimpico;O Maracanã começa a ser preparado para a Abertura do @Rio2016 https://t.co/TWx7gYOU3b https://t.co/DuS95oPC1j;
Sat May 28 01:52:40 +0000 2016;SurtoOlimpico;Treta durante a seletiva russa da Luta Olímpica para o @Rio2016  https://t.co/HTBH3BwV2R https://t.co/ixDZS8jWmR;
Sat May 28 01:51:54 +0000 2016;AllanWDS;Não venham pra #Rio2016 , porque se o governo não sabe cuidar nem do seu povo, imagina dos estrangeiros;
Sat May 28 01:49:15 +0000 2016;SurtoOlimpico;Destaques do Surto...anunciada a data da apresentação das medalhas do @Rio2016 https://t.co/HmReiluEI3 https://t.co/qEHx24nadD;
Sat May 28 01:48:23 +0000 2016;SoldadoCidadao;@Comosera @JonasGol @Rio2016.
Vai amarelar...as crianças querem medalhas  #OURO https://t.co/aZQc1IbJEC  &gt;  @YouTube https://t.co/NoO5KxDTum;
