/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Sun Jun 19 03:08:10 +0000 2016;milk1958;Moedas Olímpicas rio2016 Brasil https://t.co/Xf5787ZLwx;
Sun Jun 19 03:07:17 +0000 2016;Chico_PC;@AnaPaulaVolei saiu a tabela ontem e tive a sorte de meu ingresso da @Rio2016 ser pra BRA x USA 🏐;
Sun Jun 19 03:07:05 +0000 2016;cantorduke;Alguém. Pode me responder. Terá olimpíada? #Rio2016;
Sun Jun 19 03:04:39 +0000 2016;_hudsonQ;Faltam 47 dias para #rio2016 :);
Sun Jun 19 03:04:37 +0000 2016;_rafaeleOliver;RT @criaugusto: Que garra é essa Brasil ?? Se for assim no #Rio2016 não vou perder nenhuma noite em agosto !!!  #VoleiNaGlobo https://t.co/…;
Sun Jun 19 03:03:16 +0000 2016;criaugusto;Que garra é essa Brasil ?? Se for assim no #Rio2016 não vou perder nenhuma noite em agosto !!!  #VoleiNaGlobo https://t.co/su8Hw1GL0q;
Sun Jun 19 03:02:47 +0000 2016;OliviaGuariba;A #tocha olímpica vai passar em Assis, dia 28 junho #Rio2016;
Sun Jun 19 03:01:10 +0000 2016;139LL__;RT @Rio2016: Boa Vista já está preparada e super decorada para a celebração da noite e acendimento da pira com a #ChamaOlimpica https://t.c…;
Sun Jun 19 03:00:41 +0000 2016;Laranjito76;Vamos de jeans para o @Rio2016 🤘;
Sun Jun 19 03:00:16 +0000 2016;GiulioCesarKM;RT @exercitooficial: #Rio 2016: delegação brasileira de judô é composta exclusivamente por militares https://t.co/U0OkgjQMZO https://t.co/x…;
Sun Jun 19 02:58:57 +0000 2016;OlympicRio016;RT @cbmerjoficial: #Rio2016 Bombeiros participaram de treinamento de sistema de defesa e monitoramento de drones. https://t.co/QIBaQBEqHW;
Sun Jun 19 02:58:49 +0000 2016;JoaoJsantos744;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/qJKhbSeXAJ;
Sun Jun 19 02:57:34 +0000 2016;Ouuverney;RT @cbmerjoficial: #Rio2016 Bombeiros participaram de treinamento de sistema de defesa e monitoramento de drones. https://t.co/QIBaQBEqHW;
Sun Jun 19 02:56:42 +0000 2016;leostamillo;Mal posso esperar os memes das Olimpíadas! #Rio2016 😁 https://t.co/TzFBloS2sa;
Sun Jun 19 02:56:20 +0000 2016;RafaPulz;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 02:55:44 +0000 2016;139LL__;RT @Rio2016: Danilo Brito, 12 anos e promessa no #judô, passou a #ChamaOlimpica para a última condutora do dia, Karla Raskopf. https://t.co…;
Sun Jun 19 02:52:48 +0000 2016;florentinoarte1;RT @GKellyGBernardo: 'É uma afronta', diz procurador sobre  obras da Rio 2016 sem contrato #G1 https://t.co/rU2XZAgtY4;
Sun Jun 19 02:52:04 +0000 2016;KlerMirian;RT @Babiegs: "Se tá com medo de ir p/ o #Rio2016 por causa do Zika, não se preocupe, provavelmente vc morrerá num latrocínio antes de contr…;
Sun Jun 19 02:51:04 +0000 2016;_felipem0tta;RT @AlexandreJus: Você nos conhece? Isso mesmo, somos os mascotes: Calamidade e Pública! #Rio2016 https://t.co/eKPEjDTKCt;
Sun Jun 19 02:43:06 +0000 2016;MagriYoga;RT @jornalistavitor: Jogos Olímpicos @Rio2016 a custo zero: sim, é possível. Saiba como na matéria especial! https://t.co/vNERglpI9k  https…;
Sun Jun 19 02:40:59 +0000 2016;Vlimafutebol;The latest  Diário Válter Lima ! https://t.co/PkTnmGbD97 Thanks to @wendellfiga @OLiberal #renatogottschald #rio2016;
Sun Jun 19 02:38:46 +0000 2016;apple_nougat;RT @showdecamisas: Veja os uniformes que a @OlympikusBR fez para o #Brasil usar no vôlei de  praia no @Rio2016. https://t.co/8KyZuHikyz htt…;
Sun Jun 19 02:37:33 +0000 2016;apple_nougat;RT @Brasil2016: . @nikebrasil divulga uniformes do #basquete e do #atletismo para o #Rio2016: https://t.co/8J41DkP7Ap https://t.co/s6uQ0rMG…;
Sun Jun 19 02:36:42 +0000 2016;lenastela3;RT @Brasil2016: . @nikebrasil divulga uniformes do #basquete e do #atletismo para o #Rio2016: https://t.co/8J41DkP7Ap https://t.co/s6uQ0rMG…;
Sun Jun 19 02:35:09 +0000 2016;SergioSGTF;Brasil vence a Liga Mundial de Volei mas sempre perde para os EUA nas Olimpiadas kkkk @Rio2016 #VoleiNaGlobo;
Sun Jun 19 02:34:38 +0000 2016;OsvladPereira;RT @o_antagonista: Cocôs em alta resolução na @Rio2016 https://t.co/G94Oaifgxx https://t.co/lMp53lasVF;
Sun Jun 19 02:33:18 +0000 2016;lenastela3;RT @radiobandnewsfm: A Federação Internacional de Atletismo veta a participação da Rússia nos Jogos @Rio2016 por suspeita de um esquema sis…;
