/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Mon Jun 27 03:05:15 +0000 2016;laureanorj;E aí @Brasil2016 ?Cotidiano..Guadalupe/Deodoro @Rio2016 #Rio2016
Arrastão deixa motoristas em pânico Avenida Brasil https://t.co/nPLLslJexE;
Mon Jun 27 03:03:26 +0000 2016;CesarFaulha;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 03:01:54 +0000 2016;mgfufino;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 03:01:48 +0000 2016;netto_ab;A chance da Argentina de levar o ouro no #Rio2016 aumenta muito, já que Messi não estará lá pra bater os pênaltis. #CA2016;
Mon Jun 27 03:00:08 +0000 2016;pedroleonardo;Na mesma noite, o Chile venceu a #CopaAmerica e garantiu sua primeira dupla de vôlei de praia em Jogos Olímpicos. #Rio2016;
Mon Jun 27 02:59:27 +0000 2016;NinaLCastro;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:58:49 +0000 2016;MarcioDutra01;Copa America, Copa do Mundo, Copa America Centenária... Argentina já é franca favorita a Prata no Rio2016 #CopaAmerica;
Mon Jun 27 02:56:45 +0000 2016;clau_cccc;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:54:20 +0000 2016;xodosin;RT @Rio2016: Camila Gebara, do judô, acende a pira em Dourados: A palavra que está na minha cabeça é orgulho #ChamaOlimpica https://t.co/5v…;
Mon Jun 27 02:54:15 +0000 2016;luiiscostta;Messi se irrita e diz que vem pras Olimpíadas Rio2016;
Mon Jun 27 02:54:06 +0000 2016;ARTYDECOO;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:54:05 +0000 2016;claraoliveiradc;Puts.... Messi, não fica bad, vem pro #Rio2016 que você esquece isso, VEEEM! :D #CopaAmerica;
Mon Jun 27 02:53:54 +0000 2016;zildapsilva;@globoesportecom Espero que o @RyanLochte se classifique nas outras provas! #TeamUSA🏊  #Rio2016;
Mon Jun 27 02:53:29 +0000 2016;NegaCostta;Pensa numa pessoa que AMA CARIOCAR... This is me! #eusoudorio #rio2016 @ Rio de Janeiro, Brazil https://t.co/BnKFvhVsSo;
Mon Jun 27 02:52:45 +0000 2016;edcar1811;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:52:26 +0000 2016;Betacpm;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:51:51 +0000 2016;maira203;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:48:59 +0000 2016;EFacuevas;Convocado para @rio2016_es https://t.co/NzVcoF3Y1J;
Mon Jun 27 02:46:26 +0000 2016;deleonss;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:46:15 +0000 2016;Vivicesario;Minhas Lindas 😍😍😍
@Bradesco @rio2016_es https://t.co/ZzNSuZCYdZ;
Mon Jun 27 02:46:14 +0000 2016;roborofino;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:45:38 +0000 2016;JonatasFFC_;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:45:29 +0000 2016;leandrolechuga;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:44:56 +0000 2016;sonchada;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:44:47 +0000 2016;willyansalles;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:44:41 +0000 2016;_Tiagora;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:43:52 +0000 2016;Leo_Galo_Rock;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:43:20 +0000 2016;WeltonCAlves;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:43:16 +0000 2016;RobenUDI;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:42:42 +0000 2016;TheFaithinGod;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:42:09 +0000 2016;JonOliveira7;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:41:57 +0000 2016;marezcg;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:41:11 +0000 2016;ana_meiry;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:40:03 +0000 2016;Ihamma_1;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:39:23 +0000 2016;MarcosVenezuel;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:39:09 +0000 2016;LeideFreire1;RT @VisaBR: Eles também têm uma rotina pra acordar e ir ao trabalho. Só um pouco mais olímpica. #TeamVisa #Rio2016 #PossoMais
https://t.co/…;
Mon Jun 27 02:38:42 +0000 2016;BennySilva66;RT @HTE__Sports: Rugby: Definidas as seleções masculinas do Rio2016 e muito mais!! https://t.co/LjQOoaIAZ5 https://t.co/oJcFJRGo8s;
Mon Jun 27 02:38:17 +0000 2016;pacefeco;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:37:21 +0000 2016;markmct1;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:37:05 +0000 2016;Dadavaldeger;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:35:41 +0000 2016;Bumpyknight;RT @JogosOlimpicos: Faltam 40 dias. #RumoaoRio @Rio2016 https://t.co/xjWxUPn2Jd;
Mon Jun 27 02:34:24 +0000 2016;twittallo;Essas crianças do episódio de #gameofthrones é uma ação para divulgar o Rio2016?;
Mon Jun 27 02:34:16 +0000 2016;A_Bem_d_Verdade;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:34:03 +0000 2016;SASSAEIRAS;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:33:49 +0000 2016;KGDebora;@VEJA @Rio2016 foda-se;
Mon Jun 27 02:33:39 +0000 2016;pdevechi;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:33:33 +0000 2016;AbrahoCavalcant;RT @paulo_manso: Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L…;
Mon Jun 27 02:33:11 +0000 2016;_caaio2;RT @gustavoonilde: Obrigado @YouTubeBrasil por me convidar para conduzir a Tocha Olímpica. Foi inesquecível !. #Rio2016 #TochaOlimpica http…;
Mon Jun 27 02:32:06 +0000 2016;gustavoonilde;Obrigado @YouTubeBrasil por me convidar para conduzir a Tocha Olímpica. Foi inesquecível !. #Rio2016 #TochaOlimpica https://t.co/T1jbmGK4lM;
Mon Jun 27 02:31:22 +0000 2016;YuriBCouto;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:30:43 +0000 2016;paulo_manso;Apesar de médica, não tinha DIREITOS HUMANOS? Foi assassinda em assalto, ontem. No Rio de Janeiro. #Rio2016 https://t.co/L59awtJtMa;
Mon Jun 27 02:30:04 +0000 2016;HTE__Sports;Rugby: Definidas as seleções masculinas do Rio2016 e muito mais!! https://t.co/LjQOoaIAZ5 https://t.co/oJcFJRGo8s;
Mon Jun 27 02:30:04 +0000 2016;AlfredoRocha;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:29:23 +0000 2016;Vivicesario;Inesquecível momento com meu Amor.
bradesco rio_olympics2016 rio2016go @rio2016_es https://t.co/Mon6vNEX1t;
Mon Jun 27 02:29:11 +0000 2016;DrRenacc;Ta uma merda em rodas as áreas.
#Rio2016 https://t.co/ibzZo0hIKd;
Mon Jun 27 02:28:46 +0000 2016;marcela2241600;RT @Rio2016: Edna Osiro é filha do criador do 1º time de #futebol de Sidrolândia e se dedica ao halterofilismo. #ChamaOlimpica https://t.co…;
Mon Jun 27 02:28:29 +0000 2016;SolangeBraun1;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:27:48 +0000 2016;Bruno_kbral;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:26:53 +0000 2016;fuilongeeperto;Rio, to chegando!!! Te vejo amanhã !! Rio, see you tomorrow!  Repost from @rio2016 - Faltam #40Dias para os Jogos... https://t.co/0wULl4VyiQ;
Mon Jun 27 02:26:39 +0000 2016;KGDebora;@VEJA @Rio2016 Imbecis!!!! Morreu por causa do stress que causou a festança dessa merda de tocha. Retardados.;
Mon Jun 27 02:26:34 +0000 2016;kfmedeiros;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:25:47 +0000 2016;rafaelbpa;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:20:59 +0000 2016;rosemarieburccu;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:18:41 +0000 2016;DjalmaBeraldo;RT @EstadaoEsporte: Lochte é 3º nos 400m medley em seletiva e fica sem vaga para a prova no @Rio2016. https://t.co/7RgEd7sxB1 https://t.co/…;
Mon Jun 27 02:18:20 +0000 2016;GURGELMAURICIO;RT @Ramaltec: A Ramaltec tem as melhores soluções para seu negócio nas Olimpíadas 2016. Conheça nossos produtos em https://t.co/sdUFqDQ8BV…;
Mon Jun 27 02:18:18 +0000 2016;ChamaOlimpicaPr;Faltam 40 Dias para Pd jogos olímpicos Rio2016, aguenta coração! A ansiedade só aumenta a cada… https://t.co/BDHbwRdiJ2;
Mon Jun 27 02:17:17 +0000 2016;AdrianoLourenco;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:15:49 +0000 2016;martinchab1997;RT @Rio2016: #ChamaOlimpica em Dourados e Velódromo inaugurado no Rio. Já viram? #40Dias https://t.co/6cM1KZAoHM https://t.co/6xilNaMgnZ;
Mon Jun 27 02:14:49 +0000 2016;_PauCampos;RT @rio2016_es: Futuro escenario de grandes momentos Olímpicos.  🚴🏻 🏃🏽 #Rio2016
Zona: Recreio dos Banderantes 
@UCI_cycling @iaaforg https:…;
Mon Jun 27 02:14:38 +0000 2016;EstadaoEsporte;Lochte é 3º nos 400m medley em seletiva e fica sem vaga para a prova no @Rio2016. https://t.co/7RgEd7sxB1 https://t.co/ngXAg6ePHr;
Mon Jun 27 02:12:08 +0000 2016;MGPertegato;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:11:28 +0000 2016;PressFail;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:11:09 +0000 2016;MarcosGermano;Não concordo c/ essa prisão. 󾌴󾌴󾌴󾌴.
Por onde ela passa só causa gastos e atrapalha a vida de quem trabalha!
#rio2016 https://t.co/7vmgmVdCRq;
Mon Jun 27 02:11:02 +0000 2016;arnaldo145;E se os cálculos estiverem certos terá decisão do impeachment no meio da Rio2016. Além de que não demora p mais delações explosivas;
Mon Jun 27 02:10:39 +0000 2016;bleu5961;RT @paulacamara_: Bem-vindos aos Jogos Olímpicos Rio2016 https://t.co/BOfzcywhvX;
Mon Jun 27 02:10:38 +0000 2016;lokos_dias;RT @paulacamara_: Eu apoio essa ideia !  #Rio2016 https://t.co/XrCzMZyIFN;
Mon Jun 27 02:10:36 +0000 2016;jefersonjel75;RT @jefinhodstv: #OperacaoBetaLab.Com 6 meses de atraso, Rio entrega velódromo ao Comitê https://t.co/gXU9SBcwL5;
Mon Jun 27 02:07:23 +0000 2016;JdeFigueiredo;@VEJA @Rio2016 NÃO QUERO SABER DESTA PORRA DE TOCHA !!! QUERO SABER DO FEIJÃO !!!!!!;
Mon Jun 27 02:07:08 +0000 2016;rsf_servullo;@VEJA @ChamaOlimpica @Rio2016 Eleitores do Bolsonaro. Parabéns! #ImbecilidadeModeOn;
Mon Jun 27 02:04:29 +0000 2016;DDionete;RT @VEJA: '@Rio2016 se desculpou; E charges da onça pintada Juma se propagaram pelas redes https://t.co/O6uQLOmbUm;
Mon Jun 27 02:03:34 +0000 2016;alexpussieldi;6 classificados para o Team USA #Rio2016 apenas 1 melhorou marca pessoal, Jay Litherland nos 400 medley #SwimTrials16;
Mon Jun 27 02:02:15 +0000 2016;riffdan;@SurtoOlimpico @Rio2016 Copa América e Eurocopa tão me fazendo controlar a ansiedade. Mas depois que os torneios acabarem, não vai ter jeito;
Mon Jun 27 02:02:10 +0000 2016;aatlepa;RT @castillodiego05: Dream team confirmado para @rio2016_es https://t.co/Q0R83p40El;
Mon Jun 27 02:00:12 +0000 2016;joseluisFORAPT;RT @Julylsantos: Rio de Janeiro! #Rio2016 https://t.co/saFtrOrW5j;
Mon Jun 27 02:00:01 +0000 2016;vitorinobueno;@cesaraovivo @mr_leandroman ou então os 16 canais sportv /usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
no rio2016 não deixa;
Mon Jun 27 01:58:52 +0000 2016;ThalitaZumpy;Meu sobrinho de 7 anos tá traumatizado... 
Teve que correr de um arrastão no meio da Av Brasil. 

Esse é o #Rio2016 #olimpiadas;
Mon Jun 27 01:58:27 +0000 2016;ricardo201611;RT @Rio2016: Rosenilda Aoyama: atleta Paralímpica do arremesso de peso e lançamento de disco. Conduz a #ChamaOlimpica em Dourados https://t…;
Mon Jun 27 01:57:00 +0000 2016;Regys_Silva;RT @SurtoOlimpico: .@paugasol vem para o @Rio2016 https://t.co/bLBbOJcC1A https://t.co/nePn22WtIF;
Mon Jun 27 01:56:50 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Lembrando que foi definida a equipe de basquete masculino do @usabasketball para o @Rio2016 https://t.co/pxSxKTnWsv http…;
Mon Jun 27 01:56:37 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Definida a equipe de ginástica artística masculina dos EUA para o @Rio2016 https://t.co/2TFQvve80Y https://t.co/DBlCegVu…;
Mon Jun 27 01:56:17 +0000 2016;joaodosamba;RT @SurtoOlimpico: Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:56:16 +0000 2016;Regys_Silva;RT @SurtoOlimpico: A Espanha garante vaga no torneio de rugby sevens do @Rio2016 https://t.co/MIdDzjbT7X https://t.co/TqVhlCrzbc;
Mon Jun 27 01:56:12 +0000 2016;Regys_Silva;RT @SurtoOlimpico: O Guia para o Triatlo do @Rio2016 https://t.co/8NQAVKrwXN https://t.co/e7LssRSCHD;
Mon Jun 27 01:56:10 +0000 2016;Regys_Silva;RT @SurtoOlimpico: Destaques do Surto..,o Mapa do Guia do Surto para o @Rio2016 https://t.co/lxKMIGN3oG https://t.co/dEpDByv8UZ;
Mon Jun 27 01:55:53 +0000 2016;EduardoCoutoRj;RT @SurtoOlimpico: Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:55:24 +0000 2016;SurtoOlimpico;Tá faltando apenas 40 dias para o @Rio2016!! Tá quase lá!!;
Mon Jun 27 01:54:29 +0000 2016;gestao1000;RT @xndsf: Não estão é matando animais em risco de extinção. Vocês ainda patrocinam isso? #Rio2016 #sangue no #OTrajetoDaTocha https://t.co…;
Mon Jun 27 01:54:00 +0000 2016;SurtoOlimpico;.@paugasol vem para o @Rio2016 https://t.co/bLBbOJcC1A https://t.co/nePn22WtIF;
