/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Wed Jun 29 03:08:14 +0000 2016;JBarbosa2014;WELCOME TO OLYMPIC GAMES / RIO 2016 @Olympics!

(Eu amo o Rio! É um absurdo o que fazem com essa cidade!)

#RIO2016 https://t.co/rHamQruZqG;
Wed Jun 29 03:07:46 +0000 2016;fernandafarani;RT @MarceloLaguna: Péssima notícia para o atletismo da @Rio2016  https://t.co/dcltjQLgp1;
Wed Jun 29 03:06:43 +0000 2016;MarceloLaguna;Péssima notícia para o atletismo da @Rio2016  https://t.co/dcltjQLgp1;
Wed Jun 29 03:06:43 +0000 2016;LagunaOlimpico;Péssima notícia para o atletismo da @Rio2016  https://t.co/se5qlJwRnx;
Wed Jun 29 03:05:40 +0000 2016;LollinhaLolla;Essa cidade tá muito complicada !!! #Rio2016;
Wed Jun 29 03:03:03 +0000 2016;CamrenSaturno;RT @CocaCola_Br: .@OUrsoOficial treinou o @FeCastanhari e @t3ddyyyyy pra conduzir a #TochaOlímpica #Rio2016. #IssoÉOuro https://t.co/xA4diH…;
Wed Jun 29 03:02:29 +0000 2016;Desorientado01;Amanhã mais um dia de trabalho, graças a deus mais um evento chegando ao fim ! #ilhapura #rio2016 #parquedosatletas;
Wed Jun 29 03:00:11 +0000 2016;PetJiban;RT @OperacoesRio: #RIO2016 | FALTAM 38 DIAS – Fechamentos diários no entorno de Deodoro a partir de 31/07:https://t.co/mFXVNYblew https://t…;
Wed Jun 29 03:00:02 +0000 2016;Ricowerneck;Cheio de tesao!!  #Rio2016 #sex #ladyboyselfie #femboy #trannystrip #tgirl #gay #sissy #putariarj #dick #brasilian https://t.co/FNUKstJULK;
Wed Jun 29 02:59:57 +0000 2016;scv1950;RT @rioonibus: O RioCard olímpico ⚽🏀🎾⚾ dá acesso aos serviços especiais de transporte durante os Jogos @Rio2016 🚌🚲⛳🎯 https://t.co/Wm53jiHylh;
Wed Jun 29 02:59:07 +0000 2016;OlympicRio016;RT @aakkari: Hoje o poker cresceu! #Rio2016;
Wed Jun 29 02:58:55 +0000 2016;cmg_n_deixava;RT @elrafusko: Nossos times olímpicos estão preparados #Rio2016 https://t.co/v5BEmOfjSf;
Wed Jun 29 02:58:07 +0000 2016;chapolinn_;RT @aakkari: Hoje o poker cresceu! #Rio2016;
Wed Jun 29 02:57:08 +0000 2016;GrandeMeierNoTw;Cadastramento para moradores da área do Engenhão termina sexta-feira https://t.co/ZvZWPfCxTS;
Wed Jun 29 02:56:00 +0000 2016;SoldadoCidadao;Ainda dizem que é um evento para trazer a paz madrinha @jornalodia.
Esse #Rio2016 veio para trazer a discórdia.
A falência de vez do #Rio.;
Wed Jun 29 02:55:37 +0000 2016;__andersonluiz;RT @aakkari: Hoje o poker cresceu! #Rio2016;
Wed Jun 29 02:55:19 +0000 2016;aakkari;Hoje o poker cresceu! #Rio2016;
Wed Jun 29 02:55:04 +0000 2016;OperacoesRio;#RIO2016 | FALTAM 38 DIAS – Fechamentos diários no entorno de Deodoro a partir de 31/07:https://t.co/mFXVNYblew https://t.co/WafMZLOBWk;
Wed Jun 29 02:54:16 +0000 2016;esportes_feed;Gari, medalhistas e Galvão fazem a festa da chama olímpica em Londrina:  https://t.co/CtbimbJTeu #LanceNET;
Wed Jun 29 02:52:52 +0000 2016;Ricowerneck;Alguém afim? Rebolo gostoso!! #Rio2016     #gp #gay #ass #femboy #ladyboyselfie #trannystrip #travestisrj #shemale https://t.co/q6aErSAuTO;
Wed Jun 29 02:52:42 +0000 2016;SoldadoCidadao;Chega ser uma covardia com o povo do #Rio esse evento #rio2016 pilhando o pouco do dinheiro que resta na cidade @jornalodia
Os aposentados.;
Wed Jun 29 02:52:39 +0000 2016;lucianodmelo;@Rio2016 @ChamaOlimpica @tinomarcosreal O estado falido pessoas passando um sufoco e  esses manés fingem que tá tudo bem tá tudo certo.;
Wed Jun 29 02:51:17 +0000 2016;Camila_Byla;RT @CocaCola_Br: .@OUrsoOficial treinou o @FeCastanhari e @t3ddyyyyy pra conduzir a #TochaOlímpica #Rio2016. #IssoÉOuro https://t.co/xA4diH…;
Wed Jun 29 02:49:03 +0000 2016;cristiana_del;Gentem add rio2016 no snap e espera pra ver a mocinha aqui;
Wed Jun 29 02:48:12 +0000 2016;yasmim_bridi;RT @Rio2016: O @FeCastanhari e @t3ddyyyyy conduzem a @ChamaOlimpica daqui a pouco, em Londrina.Olha o recado deles... #RumoAoRio https://t.…;
Wed Jun 29 02:47:57 +0000 2016;sirtigerhai;RT @Rio2016: Haaaaja coração! Galvão Bueno acende a Pira em Londrina! Amanhã tem mais @ChamaOlimpica. #RumoAoRio https://t.co/8hF0nfFuOE;
Wed Jun 29 02:45:55 +0000 2016;sirtigerhai;RT @Rio2016: O sorriso de quem vai conduzir a @ChamaOlimpica. Parabéns, @tinomarcosreal! https://t.co/o4IcbrzkqF;
Wed Jun 29 02:43:24 +0000 2016;lukas_miller;RT @Rio2016: Definidos os grupos do #Rugby7s nos Jogos @Rio2016! Em quais partidas você vai? @worldrugby @brasilrugby https://t.co/X72hOBGl…;
Wed Jun 29 02:41:32 +0000 2016;fabriciofo;RT @alexpussieldi: Nenhum dos campeões olímpicos 2012 pelos USA se classificaram para o #Rio2016 e dos 19 já garantidos em provas individua…;
Wed Jun 29 02:40:55 +0000 2016;janyson_ronald;RT @infraton: Espírito Olímpico  #Rio2016 https://t.co/UBIOtKJSYw;
Wed Jun 29 02:40:46 +0000 2016;Caioaleixo;Um atleta de alto nível que pratica aquele esporte.... Qual mesmo???? Ridículo essa olimpíada... https://t.co/95spXQa74j;
Wed Jun 29 02:40:17 +0000 2016;XXGILY;RT @infraton: Espírito Olímpico  #Rio2016 https://t.co/UBIOtKJSYw;
Wed Jun 29 02:39:40 +0000 2016;IsabelViso;RT @infraton: Espírito Olímpico  #Rio2016 https://t.co/UBIOtKJSYw;
Wed Jun 29 02:39:31 +0000 2016;FutebolMundial5;Gari, medalhistas e Galvão fazem a festa da chama olímpica em Londrina:  https://t.co/2QVM4bvcCJ;
Wed Jun 29 02:39:30 +0000 2016;PortalEsporte10;Gari, medalhistas e Galvão fazem a festa da chama olímpica em Londrina https://t.co/stYPcxOwEa;
Wed Jun 29 02:39:28 +0000 2016;irafaelbarros;Gari, medalhistas e Galvão fazem a festa da chama olímpica em Londrina:  https://t.co/ki4fzCdI5D;
Wed Jun 29 02:39:26 +0000 2016;BrunoJaquet03;Gari, medalhistas e Galvão fazem a festa da chama olímpica em Londrina:  https://t.co/eYPN6ZisBk;
Wed Jun 29 02:38:40 +0000 2016;jussaraanderson;RT @HelenaDuManeco: Para confirmar meu último RT! :(

Bem-vindos ao #Rio2016, @eduardopaes_  e demais envolvidos nesta vergonha! https://t.…;
Wed Jun 29 02:36:20 +0000 2016;SPPecci;RT @HelenaDuManeco: Para confirmar meu último RT! :(

Bem-vindos ao #Rio2016, @eduardopaes_  e demais envolvidos nesta vergonha! https://t.…;
Wed Jun 29 02:36:08 +0000 2016;paulatifany1;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:34:51 +0000 2016;opressorsincero;Uma das novas modalidades das olimpíadas Rio2016 será a caça ao @DepBolsonaro .;
Wed Jun 29 02:34:42 +0000 2016;HelenaDuManeco;Para confirmar meu último RT! :(

Bem-vindos ao #Rio2016, @eduardopaes_  e demais envolvidos nesta vergonha! https://t.co/ue6z5WMMBp;
Wed Jun 29 02:34:09 +0000 2016;dodo_oz_;RT @Rio2016: O sorriso de quem vai conduzir a @ChamaOlimpica. Parabéns, @tinomarcosreal! https://t.co/o4IcbrzkqF;
Wed Jun 29 02:32:13 +0000 2016;WillSabbatini;Grande atleta https://t.co/f0LP84vwae;
Wed Jun 29 02:31:24 +0000 2016;vitorinobueno;@vitorinobueno somos tão insignificantes a ponto de ignorarem a gente, mesmo com Copa e Rio2016 aqui?;
Wed Jun 29 02:31:05 +0000 2016;nilzevictor;RT @97alternativa: Vem o lixo, olimpíada Brasil... #Rio2016 https://t.co/Bl0LCSAHBl;
Wed Jun 29 02:30:51 +0000 2016;RaafaaelAugusto;Nalbert Teodoro, isso vai chegar no Brasil? #Brasil #RIO2016 https://t.co/jI1MUGg2iY;
Wed Jun 29 02:30:14 +0000 2016;samantapersotti;RT @97alternativa: Vem o lixo, olimpíada Brasil... #Rio2016 https://t.co/Bl0LCSAHBl;
Wed Jun 29 02:30:01 +0000 2016;luisbutti;RT @Rio2016: O sorriso de quem vai conduzir a @ChamaOlimpica. Parabéns, @tinomarcosreal! https://t.co/o4IcbrzkqF;
Wed Jun 29 02:29:52 +0000 2016;fatimartinez8;RT @alexpussieldi: Nenhum dos campeões olímpicos 2012 pelos USA se classificaram para o #Rio2016 e dos 19 já garantidos em provas individua…;
Wed Jun 29 02:29:26 +0000 2016;Seba_Pereira;RT @FlvioMiyata: Acompanhando os atletas Olímpicos - Rio2016. #cbj @ Instituto Reação Freguesia https://t.co/nneNCxlDfl;
Wed Jun 29 02:28:37 +0000 2016;tec_enf_inst;RT @97alternativa: Vem o lixo, olimpíada Brasil... #Rio2016 https://t.co/Bl0LCSAHBl;
Wed Jun 29 02:28:10 +0000 2016;PetitSabino;RT @lailinharegina: dai sim, alguem que tenha relevância no esporte https://t.co/diMO3Qr5ru;
Wed Jun 29 02:26:33 +0000 2016;tec_enf_inst;RT @infraton: Espírito Olímpico  #Rio2016 https://t.co/UBIOtKJSYw;
Wed Jun 29 02:26:18 +0000 2016;irwincastawy;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:26:13 +0000 2016;Seba_Pereira;RT @alexpussieldi: Por enquanto, uma das provas mais fracas até agora. Maya Dirado controlou, mas 2:10 não chega nem perto de medalha no #R…;
Wed Jun 29 02:26:08 +0000 2016;falasdot3ddy;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:26:02 +0000 2016;T3DDYINHOS;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:25:51 +0000 2016;Seba_Pereira;RT @alexpussieldi: Nenhum dos campeões olímpicos 2012 pelos USA se classificaram para o #Rio2016 e dos 19 já garantidos em provas individua…;
Wed Jun 29 02:25:24 +0000 2016;DiarioB3ar;RT @CocaCola_Br: .@FeCastanhari e @t3ddyyyyy piraram na #TochaOlímpica #Rio2016 #IssoÉOuro #DeCaronaComATocha https://t.co/LppFH63Voz https…;
Wed Jun 29 02:25:21 +0000 2016;Seba_Pereira;RT @SurtoOlimpico: .@TeddyTamgho está fora do @Rio2016 https://t.co/TRypPeA4K9 https://t.co/Kzik8qMQkZ;
Wed Jun 29 02:24:54 +0000 2016;SoldadoCidadao;Evento de paz, amor...@jornalodia.
Uma ova!
Se fosse tudo isso o #Rio2016 seria o primeiro a desistir diante da nossa situação @jornalodia;
