/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Fri Jul 15 03:09:29 +0000 2016;MariaLCAb;RT @paulo_manso: #Rio2016 FIASCO https://t.co/jpcUVxPFWp;
Fri Jul 15 03:08:37 +0000 2016;rbuncker;RT @Julylsantos: Esse vídeo sobre o Rio de Janeiro está rodando o mundo. #Rio2016 #RioOlympics https://t.co/nJG2J2PPGs;
Fri Jul 15 03:08:14 +0000 2016;paulo_manso;#Rio2016 FIASCO https://t.co/jpcUVxPFWp;
Fri Jul 15 03:08:00 +0000 2016;dalairor;@JuanCabarcas2 @FCFSeleccionCol @rio2016_es Brasil tienes um futebolista com nombre Gabriel jesus que está um atacante  espetacular prosito;
Fri Jul 15 03:07:37 +0000 2016;10gonzaga;RT @TransitoRioRJ: #RIO2016 | A partir do dia 25/07 serão implantadas faixas olímpicas no Rio. Saiba mais: https://t. c https://t.co/NGS3Xv…;
Fri Jul 15 03:07:34 +0000 2016;MissBaunilha;Dicas p/ os turistas q vêm prestigiar as olimpíadas #Rio2016 kkkkkkkkkkkkk cômico ou trágico? 😂 By @tavaresmarcelaa https://t.co/9EBlHE6zXY;
Fri Jul 15 03:07:31 +0000 2016;sites0512com;FALTAM 24 DIAS para @Rio2016 
Este é Waldi, mascote da Olimpía… https://t.co/oUqqP8fMNK;
Fri Jul 15 03:06:44 +0000 2016;gilebruno;RT @gazetadopovo: Serviço secreto da França revela preparo de atentado terrorista na @Rio2016 https://t.co/1U98pHmik0 https://t.co/Y9MJ2zbD…;
Fri Jul 15 03:06:10 +0000 2016;TransitoRioRJ;#RIO2016 | A partir do dia 25/07 serão implantadas faixas olímpicas no Rio. Saiba mais: https://t. c https://t.co/NGS3XvorO6 (@OperacoesRio);
Fri Jul 15 03:05:47 +0000 2016;kelvynt;RT @JogosOlimpicos: Faltam 22 dias, 2 horas e 22 minutos para os Jogos @Rio2016! 😍😍 #RumoAoRio #ChegaLogo! https://t.co/YpUoTjZ1nY;
