/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Jul 28 03:09:38 +0000 2016;kaiocristiano_;RT @Flamengo: Outro pra você, @neymarjr! Boa sorte nos Jogos #Rio2016;
Thu Jul 28 03:09:34 +0000 2016;Seba_Pereira;RT @JogosOlimpicos: O @timebrasil está a todo vapor nos preparativos para os Jogos @Rio2016. Falta pouco! #RumoAoRio #VemAgosto https://t.c…;
Thu Jul 28 03:09:29 +0000 2016;maronicosta1;RT @PanichiRaphael: 05. Cada vez pior o #Rio2016 ! A população de Angra enfurecida com a passagem da Tocha! O povo está enfurecido! https:/…;
Thu Jul 28 03:09:13 +0000 2016;rojasfranco;@dilmabr por que no va a ir a la apertura de #Rio2016 
?
?
?

@dilmabr você vai para a inauguração de #Rio2016;
Thu Jul 28 03:09:07 +0000 2016;_galdinomari;RT @Flamengo: A Gávea é parte do #TimeFlamengo - Nosso clube acaba de receber os primeiros atletas do @TeamUsa de olho na #Rio2016;
Thu Jul 28 03:08:58 +0000 2016;Seba_Pereira;RT @bbr_oliveira: Voltando p a #VilaOlímpica dpois de mais um dia d treino. Hj temos prep física e psicológica qnd chegarmos~ #Rio2016 http…;
Thu Jul 28 03:08:56 +0000 2016;leomartinsg;RT @srdeabo: Rio de Janeiro vai ser uma inovação, para a história das Olimpíadas. #Rio2016 https://t.co/zYQ2WK7tf6;
Thu Jul 28 03:08:48 +0000 2016;pqpdede;RT @Flamengo: Outro pra você, @neymarjr! Boa sorte nos Jogos #Rio2016;
Thu Jul 28 03:08:32 +0000 2016;ZenTattooTaqua;Dá pra não fazer a abertura das Olimpíadas? No mundo é lindo. Por aki sempre parecem micareta com despacho. #rio2016 #Olimpiadas #vergonha;
Thu Jul 28 03:08:30 +0000 2016;elson_marjore;Tocha chegou no Rio kkkk. 
tacaram Pedra, gás e bombas, e já tem pessoas feridas . 
#RIO2016;
Thu Jul 28 03:08:12 +0000 2016;BassitLilian;RT @g1: Rio 2016 será multado em R$ 300 mil por trabalhador sem carteira assinada https://t.co/AocsvGC2c6 #Olimpíada https://t.co/qyyav727Vy;
