/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
/usr/lib/python2.6/site-packages/requests/packages/urllib3/util/ssl_.py:100: InsecurePlatformWarning: A true SSLContext object is not available. This prevents urllib3 from configuring SSL appropriately and may cause certain SSL connections to fail. For more information, see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarning.
  InsecurePlatformWarning
Thu Aug 04 03:09:42 +0000 2016;AndreaNunes2908;@OGlobo_Esportes @Rio2016  cadê a liberação? 00:10 h ė indisponível;
Thu Aug 04 03:09:38 +0000 2016;juubs_milagres;RT @otariano: SAI PASTEL DE FLANGO, AQUI EH FEIJOADA #Rio2016;
Thu Aug 04 03:09:36 +0000 2016;renatorodrig;Faro de Gol.
"Filma esse papai, vai ser gol."
#rio2016 @ Arena Corinthians https://t.co/JnJ7R3D4jd;
Thu Aug 04 03:09:35 +0000 2016;TwitteiRealitys;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:34 +0000 2016;valdinicio;Comitê Rio-2016 aponta problema em 25% do transporte dos Jogos https://t.co/Su4RAOFmcr https://t.co/BOu6ooc3t3;
Thu Aug 04 03:09:33 +0000 2016;rosamariaferr10;RT @zerohora: STF mantém decisão que impede multa não prevista em faixa exclusiva na #Rio2016 #RBSRio16 https://t.co/D2UGnwkD1I https://t.c…;
Thu Aug 04 03:09:33 +0000 2016;lailinharegina;só eu que li Han Solo no lugar de Hope Solo ???? #Rio2016;
Thu Aug 04 03:09:32 +0000 2016;renanvieirabjj;RT @g1: Prefeitura do Rio celebra no Twitter chegada do 'Pokémon Go' ao Brasil https://t.co/wUGFPESGnm #G1 #Rio2016 https://t.co/ikj51rwaMn;
Thu Aug 04 03:09:31 +0000 2016;jornalistavitor;RT @zerohora: STF mantém decisão que impede multa não prevista em faixa exclusiva na #Rio2016 #RBSRio16 https://t.co/D2UGnwkD1I https://t.c…;
Thu Aug 04 03:09:30 +0000 2016;FileGalo;RT @midiacrucis: #Rio2016 #Rio2016noFOXSports @Rio2016_en @rio2016_es @rio2016 #foraTemer PMDB golpista PSDB DEM PP PPS PSB PRB https://t.c…;
Thu Aug 04 03:09:28 +0000 2016;tiarowling;RT @ZIPERATIVO: Confira o promo de “That’s My Girl”, do Fifth Harmony, para as Olimpíadas #Rio2016 https://t.co/pTVyo4Tplt;
Thu Aug 04 03:09:28 +0000 2016;renaultreason;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:27 +0000 2016;allanassousa_;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:27 +0000 2016;SheGuilherme;RT @goleada_info: A partir de 16h acompanhe, em tempo real, Brasil x África do Sul, estreia do futebol masculino na #Rio2016. Até! 🇧🇷🏅 http…;
Thu Aug 04 03:09:27 +0000 2016;ka_maionese;RT @sarahghurdiano1: A passada da tocha olímpica por Nilópolis foi assim. O melhor do Brasil, são os brasileiros, HAHAHA #Rio2016 https://t…;
Thu Aug 04 03:09:27 +0000 2016;jonsousabfr;RT @goleada_info: E hoje é a vez dos homens! Nesta quinta-feira o Brasil estreia na #Rio2016 e vai em busca do ouro inédito! 🇧🇷🏅 https://t.…;
Thu Aug 04 03:09:26 +0000 2016;Giirenault;RT @anapaularenault: 🙏🏻Arrepiei toda!!! #TimeBrasil #TweetCampeao #SomosTodosOlimpicos @Brasil2016 @Rio2016 @TwitterBrasil @minesporte 🇧🇷 h…;
Thu Aug 04 03:09:23 +0000 2016;redwoIf;RT @goleada_info: #Rio2016 - hoje (Fut feminino):

🇸🇪 SUE 1x0 AFS 🇿🇦
🇧🇷 BRA 3x0 CHN 🇨🇳
🇨🇦 CAN 2x0 AUS 🇦🇺
🇿🇼 ZIM 1x6 ALE 🇩🇪
🇺🇸 EUA 2x0 NZE…;
Thu Aug 04 03:09:22 +0000 2016;LeLeSoberana;RT @GatinhaFutebol6: #Olympics 
Jogos Futebol Feminino ⚽💛💚
Brasil 3x0 China Vaiii Torcer 
#Futebol #Rio2016 https://t.co/2mtmYUbIQK;
